[2025-03-29_04:30:31] Total Functions: 843, Hited Functions: 29 [ 3.440095% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:31:32] Total Functions: 844, Hited Functions: 105 [ 12.440758% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:32:33] Total Functions: 844, Hited Functions: 125 [ 14.810427% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:33:34] Total Functions: 844, Hited Functions: 162 [ 19.194313% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:34:35] Total Functions: 844, Hited Functions: 176 [ 20.853081% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:35:36] Total Functions: 844, Hited Functions: 178 [ 21.090047% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:36:37] Total Functions: 844, Hited Functions: 178 [ 21.090047% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:37:38] Total Functions: 844, Hited Functions: 178 [ 21.090047% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:38:39] Total Functions: 844, Hited Functions: 180 [ 21.327014% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:39:40] Total Functions: 845, Hited Functions: 186 [ 22.011834% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:40:41] Total Functions: 845, Hited Functions: 191 [ 22.603550% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:41:42] Total Functions: 845, Hited Functions: 192 [ 22.721893% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:42:43] Total Functions: 845, Hited Functions: 193 [ 22.840237% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:43:44] Total Functions: 846, Hited Functions: 196 [ 23.167849% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:44:45] Total Functions: 846, Hited Functions: 198 [ 23.404255% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:45:46] Total Functions: 846, Hited Functions: 199 [ 23.522459% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:46:47] Total Functions: 846, Hited Functions: 204 [ 24.113475% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:47:48] Total Functions: 846, Hited Functions: 205 [ 24.231678% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:48:49] Total Functions: 846, Hited Functions: 206 [ 24.349882% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:49:50] Total Functions: 846, Hited Functions: 209 [ 24.704492% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:50:51] Total Functions: 846, Hited Functions: 209 [ 24.704492% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:51:52] Total Functions: 846, Hited Functions: 209 [ 24.704492% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:52:53] Total Functions: 846, Hited Functions: 212 [ 25.059102% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:53:54] Total Functions: 846, Hited Functions: 213 [ 25.177305% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:54:55] Total Functions: 846, Hited Functions: 217 [ 25.650118% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:55:56] Total Functions: 846, Hited Functions: 217 [ 25.650118% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:56:57] Total Functions: 846, Hited Functions: 219 [ 25.886525% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:57:58] Total Functions: 846, Hited Functions: 219 [ 25.886525% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_04:58:59] Total Functions: 846, Hited Functions: 219 [ 25.886525% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:00:00] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:01:01] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:02:02] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:03:03] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:04:04] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:05:05] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:06:06] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:07:07] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:08:08] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:09:09] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:10:10] Total Functions: 846, Hited Functions: 220 [ 26.004728% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:11:11] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:12:12] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:13:13] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:14:14] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:15:15] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:16:16] Total Functions: 846, Hited Functions: 223 [ 26.359338% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:17:17] Total Functions: 846, Hited Functions: 224 [ 26.477541% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:18:18] Total Functions: 846, Hited Functions: 224 [ 26.477541% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:19:19] Total Functions: 846, Hited Functions: 224 [ 26.477541% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:20:20] Total Functions: 846, Hited Functions: 224 [ 26.477541% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:21:21] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:22:22] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:23:23] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:24:24] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:25:25] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:26:26] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:27:27] Total Functions: 847, Hited Functions: 226 [ 26.682409% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:28:28] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:29:29] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:30:30] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:31:31] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:32:32] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:33:33] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:34:34] Total Functions: 847, Hited Functions: 227 [ 26.800472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:35:35] Total Functions: 847, Hited Functions: 228 [ 26.918536% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:36:36] Total Functions: 847, Hited Functions: 229 [ 27.036600% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:37:37] Total Functions: 847, Hited Functions: 232 [ 27.390791% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:38:38] Total Functions: 847, Hited Functions: 232 [ 27.390791% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:39:39] Total Functions: 847, Hited Functions: 232 [ 27.390791% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:40:40] Total Functions: 847, Hited Functions: 232 [ 27.390791% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:41:41] Total Functions: 847, Hited Functions: 234 [ 27.626919% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:42:42] Total Functions: 847, Hited Functions: 235 [ 27.744982% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:43:43] Total Functions: 847, Hited Functions: 235 [ 27.744982% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:44:44] Total Functions: 847, Hited Functions: 235 [ 27.744982% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:45:45] Total Functions: 847, Hited Functions: 235 [ 27.744982% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:46:46] Total Functions: 848, Hited Functions: 236 [ 27.830189% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:47:47] Total Functions: 848, Hited Functions: 237 [ 27.948113% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:48:48] Total Functions: 848, Hited Functions: 238 [ 28.066038% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:49:49] Total Functions: 848, Hited Functions: 239 [ 28.183962% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:50:50] Total Functions: 848, Hited Functions: 239 [ 28.183962% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:51:51] Total Functions: 849, Hited Functions: 243 [ 28.621908% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:52:52] Total Functions: 849, Hited Functions: 243 [ 28.621908% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:53:53] Total Functions: 849, Hited Functions: 243 [ 28.621908% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:54:54] Total Functions: 849, Hited Functions: 243 [ 28.621908% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:55:55] Total Functions: 849, Hited Functions: 243 [ 28.621908% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:56:56] Total Functions: 850, Hited Functions: 244 [ 28.705882% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:57:57] Total Functions: 850, Hited Functions: 244 [ 28.705882% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:58:58] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_05:59:59] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:01:00] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:02:01] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:03:02] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:04:03] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:05:04] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:06:05] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:07:06] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:08:07] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:09:08] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:10:09] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:11:10] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:12:11] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:13:12] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:14:13] Total Functions: 850, Hited Functions: 245 [ 28.823529% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:15:14] Total Functions: 850, Hited Functions: 246 [ 28.941176% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:16:15] Total Functions: 850, Hited Functions: 246 [ 28.941176% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:17:16] Total Functions: 850, Hited Functions: 246 [ 28.941176% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:18:17] Total Functions: 850, Hited Functions: 246 [ 28.941176% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:19:18] Total Functions: 850, Hited Functions: 246 [ 28.941176% ], Hited Edges: 0, Total Edges: 2852
[2025-03-29_06:20:19] Total Functions: 850, Hited Functions: 247 [ 29.058824% ], Hited Edges: 0, Total Edges: 2852
