real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[03-29 04:31], 128           , 493           , 0
[03-29 05:01], 1793          , 2711          , 0
[03-29 05:31], 2466          , 2941          , 0
[03-29 06:01], 2975          , 3503          , 0
[03-29 06:31], 3313          , 3650          , 0
[03-29 07:01], 3581          , 3684          , 0
[03-29 07:31], 3854          , 3744          , 0
[03-29 08:01], 4144          , 3907          , 0
[03-29 08:31], 4408          , 4040          , 0
[03-29 09:01], 4661          , 4070          , 0
[03-29 09:31], 4879          , 4119          , 0
[03-29 10:01], 5052          , 4169          , 0
[03-29 10:31], 5182          , 4198          , 0
[03-29 11:01], 5330          , 4210          , 0
[03-29 11:31], 5448          , 4221          , 0
[03-29 12:01], 5591          , 4236          , 0
[03-29 12:31], 5787          , 4319          , 0
[03-29 13:01], 5916          , 4338          , 0
[03-29 13:31], 6037          , 4362          , 0
[03-29 14:01], 6156          , 4375          , 0
[03-29 14:31], 6282          , 4418          , 0
[03-29 15:01], 6404          , 4481          , 0
[03-29 15:31], 6540          , 4538          , 0
[03-29 16:01], 6633          , 4548          , 0
[03-29 16:31], 6726          , 4553          , 0
[03-29 17:01], 6824          , 4557          , 0
[03-29 17:31], 6923          , 4562          , 0
[03-29 18:01], 7024          , 4570          , 0
[03-29 18:31], 7116          , 4576          , 0
[03-29 19:01], 7223          , 4594          , 0
[03-29 19:31], 7302          , 4602          , 0
[03-29 20:01], 7452          , 4682          , 0
[03-29 20:31], 7540          , 4692          , 0
[03-29 21:01], 7641          , 4697          , 0
[03-29 21:31], 7713          , 4713          , 0
[03-29 22:01], 7790          , 4719          , 0
[03-29 22:31], 7871          , 4731          , 0
[03-29 23:01], 7954          , 4740          , 0
[03-29 23:31], 8039          , 4777          , 0
[03-30 00:01], 8109          , 4783          , 0
[03-30 00:31], 8168          , 4786          , 0
[03-30 01:01], 8197          , 4789          , 0
[03-30 01:31], 8222          , 4791          , 0
[03-30 02:01], 8255          , 4795          , 0
[03-30 02:31], 8279          , 4807          , 0
[03-30 03:01], 8293          , 4812          , 0
[03-30 03:31], 8305          , 4816          , 0
[03-30 04:01], 8323          , 4817          , 0
