[2025-03-29_04:30:46] Total Functions: 1361, Hited Functions: 58 [ 4.261572% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:35:56] Total Functions: 1362, Hited Functions: 350 [ 25.697504% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:36:57] Total Functions: 1363, Hited Functions: 390 [ 28.613353% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:37:58] Total Functions: 1363, Hited Functions: 390 [ 28.613353% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:38:59] Total Functions: 1363, Hited Functions: 390 [ 28.613353% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:40:00] Total Functions: 1363, Hited Functions: 390 [ 28.613353% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:41:01] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:42:02] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:43:03] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:44:04] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:45:05] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:46:06] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:47:07] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:48:08] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:49:09] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:50:10] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:51:11] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:52:12] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:53:13] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:54:14] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:55:15] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:56:16] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-29_04:57:17] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
