real_map_size: 46243
loging--time, explored-paths, covered-blocks, crashes
[03-29 04:31], 8             , 5229          , 0
[03-29 05:01], 337           , 6203          , 82
[03-29 05:31], 440           , 6203          , 82
[03-29 06:01], 497           , 6203          , 82
[03-29 06:31], 497           , 6203          , 82
[03-29 07:01], 497           , 6203          , 82
[03-29 07:31], 497           , 6203          , 82
[03-29 08:01], 497           , 6203          , 82
[03-29 08:31], 497           , 6203          , 82
[03-29 09:01], 497           , 6203          , 82
[03-29 09:31], 497           , 6203          , 82
[03-29 10:01], 497           , 6203          , 82
[03-29 10:31], 497           , 6203          , 82
[03-29 11:01], 497           , 6203          , 82
[03-29 11:31], 497           , 6203          , 82
[03-29 12:01], 497           , 6203          , 82
[03-29 12:31], 497           , 6203          , 82
[03-29 13:01], 497           , 6203          , 82
[03-29 13:31], 497           , 6203          , 82
[03-29 14:01], 497           , 6203          , 82
[03-29 14:31], 497           , 6203          , 82
[03-29 15:01], 497           , 6203          , 82
[03-29 15:31], 497           , 6203          , 82
[03-29 16:01], 497           , 6203          , 82
[03-29 16:31], 497           , 6203          , 82
[03-29 17:01], 497           , 6203          , 82
[03-29 17:31], 497           , 6203          , 82
[03-29 18:01], 497           , 6203          , 82
[03-29 18:31], 497           , 6203          , 82
[03-29 19:01], 497           , 6203          , 82
[03-29 19:31], 497           , 6203          , 82
[03-29 20:01], 497           , 6203          , 82
[03-29 20:31], 497           , 6203          , 82
[03-29 21:01], 497           , 6203          , 82
[03-29 21:31], 497           , 6203          , 82
[03-29 22:01], 497           , 6203          , 82
[03-29 22:31], 497           , 6203          , 82
[03-29 23:01], 497           , 6203          , 82
[03-29 23:31], 497           , 6203          , 82
[03-30 00:01], 497           , 6203          , 82
[03-30 00:31], 497           , 6203          , 82
[03-30 01:01], 497           , 6203          , 82
[03-30 01:31], 497           , 6203          , 82
[03-30 02:01], 497           , 6203          , 82
[03-30 02:31], 497           , 6203          , 82
[03-30 03:01], 497           , 6203          , 82
[03-30 03:31], 497           , 6203          , 82
[03-30 04:01], 497           , 6203          , 82
