real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[03-30 04:34], 25            , 86            , 0
[03-30 05:04], 25            , 86            , 0
[03-30 05:34], 25            , 86            , 0
[03-30 06:04], 25            , 86            , 0
[03-30 06:34], 25            , 86            , 0
[03-30 07:04], 25            , 86            , 0
[03-30 07:34], 25            , 86            , 0
[03-30 08:04], 25            , 86            , 0
[03-30 08:34], 25            , 86            , 0
[03-30 09:04], 25            , 86            , 0
[03-30 09:34], 25            , 86            , 0
[03-30 10:04], 25            , 86            , 0
[03-30 10:34], 25            , 86            , 0
[03-30 11:04], 25            , 86            , 0
[03-30 11:34], 25            , 86            , 0
[03-30 12:04], 25            , 86            , 0
[03-30 12:34], 25            , 86            , 0
[03-30 13:04], 25            , 86            , 0
[03-30 13:34], 25            , 86            , 0
[03-30 14:04], 25            , 86            , 0
[03-30 14:34], 25            , 86            , 0
[03-30 15:04], 25            , 86            , 0
[03-30 15:34], 25            , 86            , 0
[03-30 16:04], 25            , 86            , 0
[03-30 16:34], 25            , 86            , 0
[03-30 17:04], 25            , 86            , 0
[03-30 17:34], 25            , 86            , 0
[03-30 18:04], 25            , 86            , 0
[03-30 18:34], 25            , 86            , 0
[03-30 19:04], 25            , 86            , 0
[03-30 19:34], 25            , 86            , 0
[03-30 20:04], 25            , 86            , 0
[03-30 20:34], 25            , 86            , 0
[03-30 21:04], 25            , 86            , 0
[03-30 21:34], 25            , 86            , 0
[03-30 22:04], 25            , 86            , 0
[03-30 22:34], 25            , 86            , 0
[03-30 23:04], 25            , 86            , 0
[03-30 23:34], 25            , 86            , 0
[03-31 00:04], 25            , 86            , 0
[03-31 00:34], 25            , 86            , 0
[03-31 01:04], 25            , 86            , 0
[03-31 01:34], 25            , 86            , 0
[03-31 02:04], 25            , 86            , 0
[03-31 02:34], 25            , 86            , 0
[03-31 03:04], 25            , 86            , 0
[03-31 03:34], 25            , 86            , 0
[03-31 04:04], 25            , 86            , 0
