[2025-03-28_04:30:26] Total Functions: 2747, Hited Functions: 105 [ 3.822352% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:31:27] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:32:28] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:33:29] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:34:30] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:35:31] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:36:32] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:37:33] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:38:34] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:39:35] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:40:36] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:41:37] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:42:38] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:43:39] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:44:40] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:45:41] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:46:42] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:47:43] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:48:44] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:49:45] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:50:46] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:51:47] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:52:48] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:53:49] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:58:30] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_04:59:31] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:00:32] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:01:33] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:02:34] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:03:35] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:04:36] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:05:37] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:10:50] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:11:51] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:12:52] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:13:53] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:14:54] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:15:55] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:16:56] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:17:57] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:23:05] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:24:06] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:25:07] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:26:08] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:27:09] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:28:10] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:29:11] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:30:12] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:31:13] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:36:40] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:37:41] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:38:42] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:39:43] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:40:44] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:41:45] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:42:46] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:43:47] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:44:48] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-03-28_05:45:49] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
