real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[03-28 04:30], 254           , 1312          , 0
[03-28 05:00], 1163          , 1514          , 0
[03-28 05:30], 1405          , 1541          , 0
[03-28 06:00], 1635          , 1550          , 0
[03-28 06:30], 1772          , 1553          , 0
[03-28 07:00], 1872          , 1553          , 0
[03-28 07:30], 1986          , 1557          , 0
[03-28 08:00], 2051          , 1560          , 0
[03-28 08:30], 2133          , 1564          , 0
[03-28 09:00], 2228          , 1584          , 0
[03-28 09:30], 2334          , 1590          , 0
[03-28 10:00], 2435          , 1592          , 0
[03-28 10:30], 2502          , 1592          , 0
[03-28 11:00], 2582          , 1594          , 0
[03-28 11:30], 2671          , 1596          , 0
[03-28 12:00], 2749          , 1596          , 0
[03-28 12:30], 2830          , 1602          , 0
[03-28 13:00], 2906          , 1603          , 0
[03-28 13:30], 2978          , 1604          , 0
[03-28 14:00], 3056          , 1604          , 0
[03-28 14:30], 3135          , 1605          , 0
[03-28 15:00], 3229          , 1606          , 0
[03-28 15:30], 3314          , 1607          , 0
[03-28 16:00], 3397          , 1607          , 0
[03-28 16:30], 3488          , 1607          , 0
[03-28 17:00], 3586          , 1610          , 0
[03-28 17:30], 3674          , 1610          , 0
[03-28 18:00], 3767          , 1610          , 0
[03-28 18:30], 3850          , 1610          , 0
[03-28 19:00], 3916          , 1611          , 0
[03-28 19:30], 3983          , 1611          , 0
[03-28 20:00], 4064          , 1611          , 0
[03-28 20:30], 4129          , 1611          , 0
[03-28 21:00], 4200          , 1611          , 0
[03-28 21:30], 4271          , 1611          , 0
[03-28 22:00], 4337          , 1611          , 0
[03-28 22:30], 4388          , 1611          , 0
[03-28 23:00], 4452          , 1611          , 0
[03-28 23:30], 4522          , 1611          , 0
[03-29 00:00], 4589          , 1611          , 0
[03-29 00:30], 4678          , 1611          , 0
[03-29 01:00], 4741          , 1611          , 0
[03-29 01:30], 4802          , 1611          , 0
[03-29 02:00], 4876          , 1611          , 0
[03-29 02:30], 4946          , 1611          , 0
[03-29 03:00], 5016          , 1611          , 0
[03-29 03:30], 5079          , 1611          , 0
[03-29 04:00], 5150          , 1611          , 0
