real_map_size: 361796
loging--time, explored-paths, covered-blocks, crashes
[04-11 18:54], 63            , 12629         , 0
[04-11 19:24], 1099          , 14062         , 7
[04-11 19:54], 1296          , 14102         , 8
[04-11 20:24], 1422          , 14112         , 11
[04-11 20:54], 1525          , 15635         , 20
[04-11 21:24], 1577          , 15692         , 21
[04-11 21:54], 1669          , 15730         , 24
[04-11 22:24], 1728          , 15744         , 32
[04-11 22:54], 1824          , 15750         , 37
[04-11 23:24], 1885          , 15750         , 39
[04-11 23:54], 1940          , 15751         , 45
[04-12 00:24], 1997          , 15766         , 50
[04-12 00:54], 2092          , 18890         , 79
[04-12 01:24], 2182          , 18902         , 87
[04-12 01:54], 2319          , 18932         , 92
[04-12 02:24], 2377          , 18937         , 94
[04-12 02:54], 2426          , 19008         , 94
[04-12 03:24], 2432          , 19020         , 94
[04-12 03:54], 2433          , 19020         , 94
[04-12 04:24], 2433          , 19020         , 94
[04-12 04:54], 2433          , 19020         , 94
[04-12 05:24], 2434          , 19020         , 94
[04-12 05:54], 2435          , 19020         , 94
[04-12 06:24], 2435          , 19020         , 94
[04-12 06:54], 2442          , 19020         , 94
[04-12 07:24], 2492          , 19029         , 97
[04-12 07:54], 2499          , 19032         , 98
[04-12 08:24], 2554          , 19032         , 105
[04-12 08:54], 2727          , 19078         , 158
[04-12 09:24], 2781          , 19086         , 164
[04-12 09:54], 2840          , 19086         , 168
[04-12 10:24], 2868          , 19087         , 170
[04-12 10:54], 2884          , 19087         , 197
[04-12 11:24], 2925          , 19089         , 199
[04-12 11:54], 2936          , 19089         , 200
[04-12 12:24], 2939          , 19091         , 226
[04-12 12:54], 2939          , 19091         , 226
[04-12 13:24], 2944          , 19091         , 229
[04-12 13:54], 2980          , 19092         , 245
[04-12 14:24], 2991          , 19092         , 247
[04-12 14:54], 3008          , 19096         , 279
[04-12 15:24], 3030          , 19096         , 352
[04-12 15:54], 3042          , 19098         , 375
[04-12 16:24], 3061          , 19098         , 408
[04-12 16:54], 3064          , 19099         , 432
[04-12 17:24], 3064          , 19099         , 432
[04-12 17:54], 3081          , 19100         , 444
[04-12 18:24], 3102          , 19100         , 493
[04-12 18:54], 3117          , 19100         , 565
[04-12 19:24], 3124          , 19102         , 573
[04-12 19:54], 3128          , 19102         , 574
[04-12 20:24], 3129          , 19102         , 585
[04-12 20:54], 3140          , 19102         , 594
[04-12 21:24], 3148          , 19102         , 695
[04-12 21:54], 3152          , 19102         , 748
[04-12 22:24], 3158          , 19102         , 754
[04-12 22:54], 3177          , 19103         , 788
[04-12 23:24], 3180          , 19103         , 796
[04-12 23:54], 3194          , 19108         , 796
[04-13 00:24], 3218          , 19113         , 798
[04-13 00:54], 3237          , 19121         , 799
[04-13 01:24], 3248          , 19121         , 801
[04-13 01:54], 3265          , 19132         , 834
[04-13 02:24], 3268          , 19132         , 900
[04-13 02:54], 3287          , 19132         , 919
[04-13 03:24], 3303          , 19132         , 924
[04-13 03:54], 3312          , 19132         , 959
[04-13 04:24], 3313          , 19132         , 962
[04-13 04:54], 3317          , 19132         , 966
[04-13 05:24], 3319          , 19132         , 987
[04-13 05:54], 3321          , 19132         , 989
[04-13 06:24], 3330          , 19132         , 995
[04-13 06:54], 3336          , 19139         , 1121
[04-13 07:24], 3350          , 19140         , 1138
[04-13 07:54], 3358          , 19140         , 1218
[04-13 08:24], 3366          , 19141         , 1340
[04-13 08:54], 3381          , 19141         , 1415
[04-13 09:24], 3386          , 19146         , 1459
[04-13 09:54], 3398          , 19146         , 1512
[04-13 10:24], 3400          , 19148         , 1573
[04-13 10:54], 3405          , 19150         , 1602
[04-13 11:24], 3415          , 19150         , 1634
[04-13 11:54], 3421          , 19150         , 1686
[04-13 12:24], 3428          , 19151         , 1708
[04-13 12:54], 3434          , 19151         , 1766
[04-13 13:24], 3439          , 19151         , 1820
[04-13 13:54], 3445          , 19151         , 1881
[04-13 14:24], 3456          , 19151         , 1914
[04-13 14:54], 3463          , 19151         , 1941
[04-13 15:24], 3468          , 19151         , 2004
[04-13 15:54], 3473          , 19152         , 2018
[04-13 16:24], 3483          , 19152         , 2040
[04-13 16:54], 3490          , 19152         , 2107
[04-13 17:24], 3494          , 19162         , 2177
[04-13 17:54], 3496          , 19162         , 2251
[04-13 18:24], 3505          , 19165         , 2302
[04-13 18:54], 3508          , 19165         , 2408
[04-13 19:24], 3511          , 19165         , 2421
[04-13 19:54], 3515          , 19165         , 2441
[04-13 20:24], 3524          , 19269         , 2463
[04-13 20:54], 3532          , 19272         , 2482
[04-13 21:24], 3537          , 19272         , 2538
[04-13 21:54], 3540          , 19272         , 2749
[04-13 22:24], 3542          , 19272         , 2757
