real_map_size: 243733
loging--time, explored-paths, covered-blocks, crashes
[03-13 15:07], 23            , 1956          , 0
[03-13 15:37], 59            , 2014          , 0
[03-13 16:07], 68            , 2017          , 0
[03-13 16:38], 72            , 2018          , 0
[03-13 17:08], 72            , 2018          , 0
[03-13 17:38], 73            , 2020          , 0
[03-13 18:08], 73            , 2020          , 0
[03-13 18:39], 76            , 2946          , 0
[03-13 19:09], 79            , 2956          , 0
[03-13 19:39], 81            , 2957          , 0
[03-13 20:09], 85            , 2959          , 0
[03-13 20:39], 90            , 2961          , 0
[03-13 21:09], 93            , 2961          , 0
[03-13 21:40], 97            , 2977          , 0
[03-13 22:10], 99            , 3009          , 0
[03-13 22:40], 102           , 3013          , 0
[03-13 23:11], 109           , 3123          , 0
[03-13 23:41], 116           , 3273          , 0
[03-14 00:11], 118           , 3273          , 0
[03-14 00:41], 120           , 3343          , 0
[03-14 01:12], 125           , 3363          , 0
[03-14 01:42], 156           , 3432          , 0
[03-14 02:12], 177           , 3437          , 0
[03-14 02:42], 198           , 3459          , 0
[03-14 03:12], 221           , 3465          , 0
[03-14 03:42], 235           , 3472          , 0
[03-14 04:12], 255           , 3476          , 0
[03-14 04:43], 267           , 3484          , 0
[03-14 05:13], 280           , 3502          , 0
[03-14 05:43], 295           , 3506          , 0
[03-14 06:13], 304           , 3507          , 0
[03-14 06:44], 318           , 3525          , 0
[03-14 07:14], 459           , 3698          , 0
[03-14 07:44], 462           , 3698          , 0
[03-14 08:14], 477           , 3698          , 0
[03-14 08:44], 486           , 3699          , 0
[03-14 09:16], 491           , 3704          , 0
[03-14 09:46], 493           , 3705          , 0
[03-14 10:16], 499           , 3705          , 0
[03-14 10:47], 500           , 3705          , 0
[03-14 11:17], 503           , 3707          , 0
[03-14 11:47], 503           , 3707          , 0
[03-14 12:17], 507           , 3707          , 0
[03-14 12:47], 513           , 3709          , 0
[03-14 13:18], 520           , 3711          , 0
[03-14 13:48], 529           , 3712          , 0
[03-14 14:18], 531           , 3712          , 0
[03-14 14:48], 532           , 3717          , 0
[03-14 15:18], 536           , 3721          , 0
[03-14 15:49], 540           , 3723          , 0
[03-14 16:19], 542           , 3724          , 0
[03-14 16:49], 549           , 3728          , 0
[03-14 17:20], 554           , 3731          , 0
[03-14 17:50], 561           , 3733          , 0
[03-14 18:20], 565           , 3734          , 0
[03-14 18:50], 569           , 3734          , 0
[03-14 19:20], 573           , 3737          , 0
[03-14 19:50], 575           , 3737          , 0
[03-14 20:21], 576           , 3737          , 0
[03-14 20:51], 578           , 3738          , 0
[03-14 21:21], 579           , 3738          , 0
[03-14 21:52], 580           , 3738          , 0
[03-14 22:22], 580           , 3738          , 0
[03-14 22:52], 580           , 3738          , 0
[03-14 23:23], 591           , 3741          , 0
[03-14 23:53], 593           , 3741          , 0
[03-15 00:23], 595           , 3741          , 0
[03-15 00:53], 596           , 3741          , 0
[03-15 01:23], 599           , 3741          , 0
[03-15 01:53], 603           , 3741          , 0
[03-15 02:23], 614           , 3741          , 0
[03-15 02:53], 621           , 3741          , 0
[03-15 03:23], 626           , 3742          , 0
[03-15 03:54], 632           , 3745          , 0
[03-15 04:24], 639           , 3748          , 0
[03-15 04:54], 641           , 3748          , 0
[03-15 05:24], 642           , 3748          , 0
[03-15 05:54], 644           , 3753          , 0
[03-15 06:24], 645           , 3753          , 0
[03-15 06:55], 647           , 3753          , 0
[03-15 07:25], 658           , 3756          , 0
[03-15 07:55], 661           , 3757          , 0
[03-15 08:25], 666           , 3758          , 0
[03-15 08:56], 670           , 3758          , 0
[03-15 09:27], 676           , 3758          , 0
[03-15 09:57], 682           , 3761          , 0
[03-15 10:27], 688           , 3762          , 0
[03-15 10:57], 691           , 3762          , 0
[03-15 11:28], 700           , 3763          , 0
[03-15 11:58], 707           , 3767          , 0
[03-15 12:30], 711           , 3771          , 0
[03-15 13:00], 721           , 3777          , 0
[03-15 13:30], 730           , 3784          , 0
[03-15 14:00], 733           , 3785          , 0
[03-15 14:30], 737           , 3785          , 0
[03-15 15:00], 741           , 3785          , 0
[03-15 15:31], 745           , 3785          , 0
[03-15 16:01], 746           , 3785          , 0
[03-15 16:31], 755           , 3785          , 0
[03-15 17:01], 761           , 3787          , 0
[03-15 17:31], 767           , 3790          , 0
[03-15 18:01], 767           , 3790          , 0
[03-15 18:32], 771           , 3790          , 0
[03-15 19:02], 774           , 3790          , 0
[03-15 19:32], 775           , 3790          , 0
[03-15 20:02], 778           , 3790          , 0
[03-15 20:33], 780           , 3790          , 0
[03-15 21:03], 781           , 3790          , 0
[03-15 21:33], 785           , 3795          , 0
[03-15 22:04], 785           , 3795          , 0
[03-15 22:34], 793           , 3795          , 0
[03-15 23:04], 805           , 3795          , 0
[03-15 23:34], 815           , 3795          , 0
[03-16 00:04], 818           , 3795          , 0
[03-16 00:35], 819           , 3795          , 0
[03-16 01:05], 822           , 3795          , 0
[03-16 01:35], 826           , 3795          , 0
[03-16 02:05], 828           , 3795          , 0
[03-16 02:36], 828           , 3795          , 0
[03-16 03:06], 828           , 3795          , 0
[03-16 03:36], 828           , 3795          , 0
[03-16 04:06], 828           , 3795          , 0
[03-16 04:36], 828           , 3795          , 0
[03-16 05:06], 828           , 3795          , 0
[03-16 05:36], 828           , 3795          , 0
[03-16 06:06], 832           , 3795          , 0
[03-16 06:37], 834           , 3796          , 0
[03-16 07:07], 854           , 3810          , 0
[03-16 07:37], 855           , 3814          , 0
[03-16 08:07], 856           , 3814          , 0
[03-16 08:37], 857           , 3815          , 0
[03-16 09:07], 858           , 3815          , 0
[03-16 09:37], 860           , 3815          , 0
[03-16 10:07], 860           , 3815          , 0
[03-16 10:37], 862           , 3815          , 0
[03-16 11:07], 865           , 3816          , 0
[03-16 11:38], 865           , 3816          , 0
[03-16 12:08], 866           , 3816          , 0
[03-16 12:38], 868           , 3816          , 0
