real_map_size: 81270
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 42            , 2408          , 0
[03-13 15:29], 1019          , 3875          , 0
[03-13 15:59], 1273          , 4009          , 0
[03-13 16:29], 1405          , 4054          , 0
[03-13 16:59], 1509          , 4070          , 0
[03-13 17:29], 1644          , 4156          , 0
[03-13 17:59], 1767          , 4164          , 0
[03-13 18:29], 1845          , 4197          , 0
[03-13 18:59], 1941          , 4210          , 0
[03-13 19:29], 1993          , 4216          , 0
[03-13 19:59], 2045          , 4254          , 0
[03-13 20:29], 2069          , 4255          , 0
[03-13 20:59], 2095          , 4255          , 0
[03-13 21:29], 2231          , 4357          , 0
[03-13 21:59], 2322          , 4377          , 0
[03-13 22:29], 2372          , 4391          , 0
[03-13 22:59], 2402          , 4414          , 0
[03-13 23:29], 2430          , 4424          , 0
[03-13 23:59], 2466          , 4428          , 0
[03-14 00:29], 2488          , 4438          , 0
[03-14 00:59], 2523          , 4454          , 0
[03-14 01:29], 2538          , 4466          , 0
[03-14 01:59], 2544          , 4468          , 0
[03-14 02:29], 2566          , 4486          , 0
[03-14 02:59], 2597          , 4494          , 0
[03-14 03:29], 2632          , 4496          , 0
[03-14 03:59], 2648          , 4496          , 0
[03-14 04:29], 2670          , 4496          , 0
[03-14 04:59], 2682          , 4498          , 0
[03-14 05:29], 2691          , 4501          , 0
[03-14 05:59], 2703          , 4501          , 0
[03-14 06:29], 2713          , 4501          , 0
[03-14 06:59], 2719          , 4503          , 0
[03-14 07:29], 2728          , 4504          , 0
[03-14 07:59], 2749          , 4512          , 0
[03-14 08:29], 2772          , 4581          , 0
[03-14 08:59], 2790          , 4581          , 0
[03-14 09:29], 2797          , 4581          , 0
[03-14 09:59], 2812          , 4583          , 0
[03-14 10:29], 2817          , 4584          , 0
[03-14 10:59], 2820          , 4586          , 0
[03-14 11:29], 2824          , 4587          , 0
[03-14 11:59], 2828          , 4590          , 0
[03-14 12:29], 2835          , 4590          , 0
[03-14 12:59], 2841          , 4590          , 0
[03-14 13:29], 2845          , 4590          , 0
[03-14 13:59], 2847          , 4590          , 0
[03-14 14:29], 2849          , 4590          , 0
[03-14 14:59], 2862          , 4590          , 0
[03-14 15:29], 2872          , 4591          , 0
[03-14 15:59], 2875          , 4591          , 0
[03-14 16:29], 2876          , 4591          , 0
[03-14 16:59], 2882          , 4619          , 0
[03-14 17:29], 2888          , 4621          , 0
[03-14 17:59], 2897          , 4621          , 0
[03-14 18:29], 2902          , 4623          , 0
[03-14 18:59], 2906          , 4623          , 0
[03-14 19:29], 2907          , 4625          , 0
[03-14 19:59], 2910          , 4661          , 0
[03-14 20:29], 2910          , 4661          , 0
[03-14 20:59], 2913          , 4661          , 0
[03-14 21:29], 2918          , 4661          , 0
[03-14 21:59], 2924          , 4688          , 0
[03-14 22:29], 2937          , 4689          , 0
[03-14 22:59], 2943          , 4689          , 0
[03-14 23:29], 2947          , 4689          , 0
[03-14 23:59], 2948          , 4689          , 0
[03-15 00:29], 2954          , 4689          , 0
[03-15 00:59], 2955          , 4689          , 0
[03-15 01:29], 2955          , 4689          , 0
[03-15 01:59], 2966          , 4689          , 0
[03-15 02:29], 2975          , 4689          , 0
[03-15 02:59], 2987          , 4707          , 0
[03-15 03:29], 2993          , 4708          , 0
[03-15 03:59], 2998          , 4709          , 0
[03-15 04:29], 3002          , 4714          , 0
[03-15 04:59], 3004          , 4714          , 0
[03-15 05:29], 3009          , 4717          , 0
[03-15 05:59], 3009          , 4717          , 0
[03-15 06:29], 3009          , 4717          , 0
[03-15 06:59], 3015          , 4717          , 0
[03-15 07:29], 3020          , 4718          , 0
[03-15 07:59], 3020          , 4718          , 0
[03-15 08:29], 3022          , 4718          , 0
[03-15 08:59], 3025          , 4718          , 0
[03-15 09:29], 3029          , 4718          , 0
[03-15 09:59], 3030          , 4718          , 0
[03-15 10:29], 3032          , 4718          , 0
[03-15 10:59], 3033          , 4718          , 0
[03-15 11:29], 3034          , 4723          , 0
[03-15 11:59], 3034          , 4723          , 0
[03-15 12:29], 3037          , 4727          , 0
[03-15 12:59], 3037          , 4727          , 0
[03-15 13:29], 3037          , 4727          , 0
[03-15 13:59], 3039          , 4727          , 0
[03-15 14:29], 3042          , 4727          , 0
[03-15 14:59], 3044          , 4727          , 0
[03-15 15:29], 3047          , 4728          , 0
[03-15 15:59], 3049          , 4728          , 0
[03-15 16:29], 3051          , 4728          , 0
[03-15 16:59], 3051          , 4728          , 0
[03-15 17:29], 3051          , 4728          , 0
[03-15 17:59], 3054          , 4728          , 0
[03-15 18:29], 3061          , 4728          , 0
[03-15 18:59], 3071          , 4728          , 0
[03-15 19:29], 3072          , 4728          , 0
[03-15 19:59], 3080          , 4728          , 0
[03-15 20:29], 3080          , 4728          , 0
[03-15 20:59], 3081          , 4729          , 0
[03-15 21:29], 3085          , 4729          , 0
[03-15 21:59], 3089          , 4729          , 0
[03-15 22:29], 3094          , 4730          , 0
[03-15 22:59], 3099          , 4730          , 0
[03-15 23:29], 3100          , 4730          , 0
[03-15 23:59], 3104          , 4731          , 0
[03-16 00:29], 3119          , 4734          , 0
[03-16 00:59], 3121          , 4734          , 0
[03-16 01:29], 3125          , 4734          , 0
[03-16 01:59], 3128          , 4734          , 0
[03-16 02:29], 3132          , 4744          , 0
[03-16 02:59], 3133          , 4744          , 0
[03-16 03:29], 3144          , 4745          , 0
[03-16 03:59], 3147          , 4745          , 0
[03-16 04:29], 3149          , 4745          , 0
[03-16 04:59], 3152          , 4745          , 0
[03-16 05:29], 3156          , 4745          , 0
[03-16 05:59], 3158          , 4745          , 0
[03-16 06:29], 3164          , 4745          , 0
[03-16 06:59], 3167          , 4745          , 0
[03-16 07:29], 3170          , 4745          , 0
[03-16 07:59], 3170          , 4745          , 0
[03-16 08:29], 3173          , 4745          , 0
[03-16 08:59], 3174          , 4745          , 0
[03-16 09:29], 3174          , 4745          , 0
[03-16 09:59], 3175          , 4745          , 0
[03-16 10:29], 3177          , 4745          , 0
[03-16 10:59], 3181          , 4745          , 0
[03-16 11:29], 3181          , 4745          , 0
[03-16 11:59], 3182          , 4745          , 0
[03-16 12:29], 3183          , 4745          , 0
