real_map_size: 14520
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 10            , 275           , 0
[03-13 15:29], 10            , 275           , 0
[03-13 15:59], 10            , 275           , 0
[03-13 16:29], 10            , 275           , 0
[03-13 16:59], 10            , 275           , 0
[03-13 17:29], 10            , 275           , 0
[03-13 17:59], 10            , 275           , 0
[03-13 18:29], 10            , 275           , 0
[03-13 18:59], 10            , 275           , 0
[03-13 19:29], 10            , 275           , 0
[03-13 19:59], 10            , 275           , 0
[03-13 20:29], 10            , 275           , 0
[03-13 20:59], 10            , 275           , 0
[03-13 21:29], 10            , 275           , 0
[03-13 21:59], 10            , 275           , 0
[03-13 22:29], 10            , 275           , 0
[03-13 22:59], 10            , 275           , 0
[03-13 23:29], 10            , 275           , 0
[03-13 23:59], 10            , 275           , 0
[03-14 00:29], 10            , 275           , 0
[03-14 00:59], 10            , 275           , 0
[03-14 01:29], 10            , 275           , 0
[03-14 01:59], 10            , 275           , 0
[03-14 02:29], 10            , 275           , 0
[03-14 02:59], 10            , 275           , 0
[03-14 03:29], 10            , 275           , 0
[03-14 03:59], 10            , 275           , 0
[03-14 04:29], 10            , 275           , 0
[03-14 04:59], 10            , 275           , 0
[03-14 05:29], 10            , 275           , 0
[03-14 05:59], 10            , 275           , 0
[03-14 06:29], 10            , 275           , 0
[03-14 06:59], 10            , 275           , 0
[03-14 07:29], 10            , 275           , 0
[03-14 07:59], 10            , 275           , 0
[03-14 08:29], 10            , 275           , 0
[03-14 08:59], 10            , 275           , 0
[03-14 09:29], 10            , 275           , 0
[03-14 09:59], 10            , 275           , 0
[03-14 10:29], 10            , 275           , 0
[03-14 10:59], 10            , 275           , 0
[03-14 11:29], 10            , 275           , 0
[03-14 11:59], 10            , 275           , 0
[03-14 12:29], 10            , 275           , 0
[03-14 12:59], 10            , 275           , 0
[03-14 13:29], 10            , 275           , 0
[03-14 13:59], 10            , 275           , 0
[03-14 14:29], 10            , 275           , 0
[03-14 14:59], 10            , 275           , 0
[03-14 15:29], 10            , 275           , 0
[03-14 15:59], 10            , 275           , 0
[03-14 16:29], 10            , 275           , 0
[03-14 16:59], 10            , 275           , 0
[03-14 17:29], 10            , 275           , 0
