real_map_size: 4912
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 707           , 1392          , 0
[02-08 17:43], 2786          , 1765          , 0
[02-08 18:13], 3478          , 1781          , 0
[02-08 18:43], 4077          , 1803          , 0
[02-08 19:13], 4319          , 1804          , 0
[02-08 19:43], 4473          , 1810          , 0
[02-08 20:13], 4523          , 1810          , 0
[02-08 20:43], 4611          , 1812          , 0
[02-08 21:13], 4650          , 1812          , 0
[02-08 21:43], 4673          , 1812          , 0
[02-08 22:13], 4702          , 1814          , 0
[02-08 22:43], 4718          , 1814          , 0
[02-08 23:13], 4730          , 1814          , 0
[02-08 23:43], 4738          , 1814          , 0
[02-09 00:13], 4748          , 1814          , 0
[02-09 00:43], 4759          , 1815          , 0
[02-09 01:13], 4779          , 1816          , 0
[02-09 01:43], 4791          , 1816          , 0
[02-09 02:13], 4800          , 1816          , 0
[02-09 02:43], 4807          , 1817          , 0
[02-09 03:13], 4810          , 1817          , 0
[02-09 03:43], 4812          , 1817          , 0
[02-09 04:13], 4814          , 1817          , 0
[02-09 04:43], 4818          , 1817          , 0
[02-09 05:13], 4822          , 1817          , 0
[02-09 05:43], 4826          , 1817          , 0
[02-09 06:13], 4827          , 1817          , 0
[02-09 06:43], 4828          , 1817          , 0
[02-09 07:13], 4828          , 1817          , 0
[02-09 07:43], 4831          , 1817          , 0
[02-09 08:13], 4832          , 1817          , 0
[02-09 08:43], 4836          , 1817          , 0
[02-09 09:13], 4837          , 1817          , 0
[02-09 09:43], 4838          , 1817          , 0
[02-09 10:13], 4842          , 1817          , 0
[02-09 10:43], 4851          , 1818          , 0
[02-09 11:13], 4855          , 1818          , 0
[02-09 11:43], 4858          , 1818          , 0
[02-09 12:13], 4859          , 1818          , 0
[02-09 12:43], 4862          , 1818          , 0
[02-09 13:13], 4862          , 1818          , 0
[02-09 13:43], 4863          , 1818          , 0
[02-09 14:13], 4863          , 1818          , 0
[02-09 14:43], 4863          , 1818          , 0
[02-09 15:13], 4865          , 1818          , 0
[02-09 15:43], 4865          , 1818          , 0
[02-09 16:13], 4865          , 1818          , 0
[02-09 16:43], 4867          , 1818          , 0
[02-09 17:13], 4870          , 1818          , 0
[02-09 17:43], 4872          , 1818          , 0
[02-09 18:13], 4873          , 1818          , 0
[02-09 18:43], 4873          , 1818          , 0
[02-09 19:13], 4874          , 1818          , 0
[02-09 19:43], 4875          , 1818          , 0
[02-09 20:13], 4875          , 1818          , 0
[02-09 20:43], 4875          , 1818          , 0
[02-09 21:13], 4875          , 1818          , 0
[02-09 21:43], 4876          , 1818          , 0
[02-09 22:13], 4877          , 1818          , 0
[02-09 22:43], 4878          , 1818          , 0
[02-09 23:13], 4878          , 1818          , 0
[02-09 23:43], 4879          , 1818          , 0
[02-10 00:13], 4880          , 1818          , 0
[02-10 00:43], 4884          , 1818          , 0
[02-10 01:13], 4889          , 1818          , 0
[02-10 01:43], 4889          , 1818          , 0
[02-10 02:13], 4890          , 1819          , 0
[02-10 02:43], 4890          , 1819          , 0
[02-10 03:13], 4890          , 1819          , 0
[02-10 03:43], 4891          , 1819          , 0
[02-10 04:13], 4892          , 1819          , 0
[02-10 04:43], 4893          , 1819          , 0
[02-10 05:13], 4895          , 1819          , 0
[02-10 05:43], 4900          , 1819          , 0
[02-10 06:13], 4901          , 1819          , 0
[02-10 06:43], 4902          , 1819          , 0
[02-10 07:13], 4903          , 1819          , 0
[02-10 07:43], 4903          , 1819          , 0
[02-10 08:13], 4903          , 1819          , 0
[02-10 08:43], 4905          , 1819          , 0
[02-10 09:13], 4906          , 1819          , 0
[02-10 09:43], 4906          , 1819          , 0
[02-10 10:13], 4907          , 1819          , 0
[02-10 10:43], 4907          , 1819          , 0
[02-10 11:13], 4908          , 1819          , 0
[02-10 11:43], 4909          , 1819          , 0
[02-10 12:13], 4912          , 1819          , 0
[02-10 12:43], 4913          , 1819          , 0
[02-10 13:13], 4913          , 1819          , 0
[02-10 13:43], 4913          , 1819          , 0
[02-10 14:13], 4914          , 1819          , 0
