real_map_size: 7023
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 51            , 343           , 0
[02-08 17:43], 241           , 477           , 0
[02-08 18:13], 273           , 479           , 0
[02-08 18:43], 300           , 479           , 0
[02-08 19:13], 318           , 479           , 0
[02-08 19:43], 326           , 479           , 0
[02-08 20:13], 343           , 479           , 0
[02-08 20:43], 348           , 479           , 0
[02-08 21:13], 372           , 490           , 0
[02-08 21:43], 392           , 490           , 0
[02-08 22:13], 395           , 490           , 0
[02-08 22:43], 398           , 490           , 0
[02-08 23:13], 404           , 490           , 0
[02-08 23:43], 410           , 490           , 0
[02-09 00:13], 413           , 490           , 0
[02-09 00:43], 419           , 490           , 0
[02-09 01:13], 419           , 490           , 0
[02-09 01:43], 422           , 490           , 0
[02-09 02:13], 423           , 490           , 0
[02-09 02:43], 428           , 490           , 0
[02-09 03:13], 429           , 490           , 0
[02-09 03:43], 434           , 491           , 0
[02-09 04:13], 440           , 491           , 0
[02-09 04:43], 441           , 491           , 0
[02-09 05:13], 443           , 491           , 0
[02-09 05:43], 444           , 491           , 0
[02-09 06:13], 445           , 491           , 0
[02-09 06:43], 445           , 491           , 0
[02-09 07:13], 448           , 491           , 0
[02-09 07:43], 449           , 491           , 0
[02-09 08:13], 449           , 491           , 0
[02-09 08:43], 456           , 495           , 0
[02-09 09:13], 459           , 495           , 0
[02-09 09:43], 460           , 495           , 0
[02-09 10:13], 460           , 495           , 0
[02-09 10:43], 461           , 495           , 0
[02-09 11:13], 462           , 495           , 0
[02-09 11:43], 462           , 495           , 0
[02-09 12:13], 463           , 495           , 0
[02-09 12:43], 464           , 495           , 0
[02-09 13:13], 465           , 495           , 0
[02-09 13:43], 466           , 495           , 0
[02-09 14:13], 466           , 495           , 0
[02-09 14:43], 466           , 495           , 0
[02-09 15:13], 469           , 495           , 0
[02-09 15:43], 469           , 495           , 0
[02-09 16:13], 470           , 495           , 0
[02-09 16:43], 473           , 495           , 0
[02-09 17:13], 475           , 495           , 0
[02-09 17:43], 475           , 495           , 0
[02-09 18:13], 483           , 495           , 0
[02-09 18:43], 483           , 495           , 0
[02-09 19:13], 483           , 495           , 0
[02-09 19:43], 483           , 495           , 0
[02-09 20:13], 483           , 495           , 0
[02-09 20:43], 483           , 495           , 0
[02-09 21:13], 484           , 495           , 0
[02-09 21:43], 485           , 495           , 0
[02-09 22:13], 485           , 495           , 0
[02-09 22:43], 485           , 495           , 0
[02-09 23:13], 485           , 495           , 0
[02-09 23:43], 486           , 495           , 0
[02-10 00:13], 487           , 495           , 0
[02-10 00:43], 488           , 495           , 0
[02-10 01:13], 490           , 495           , 0
[02-10 01:43], 491           , 495           , 0
[02-10 02:13], 492           , 495           , 0
[02-10 02:43], 492           , 495           , 0
[02-10 03:13], 493           , 495           , 0
[02-10 03:43], 494           , 495           , 0
[02-10 04:13], 496           , 495           , 0
[02-10 04:43], 497           , 495           , 0
[02-10 05:13], 498           , 495           , 0
[02-10 05:43], 499           , 495           , 0
[02-10 06:13], 501           , 495           , 0
[02-10 06:43], 501           , 495           , 0
[02-10 07:13], 501           , 495           , 0
[02-10 07:43], 501           , 495           , 0
[02-10 08:13], 501           , 495           , 0
[02-10 08:43], 502           , 495           , 0
[02-10 09:13], 502           , 495           , 0
[02-10 09:43], 502           , 495           , 0
[02-10 10:13], 502           , 495           , 0
[02-10 10:43], 503           , 495           , 0
[02-10 11:13], 503           , 495           , 0
[02-10 11:43], 503           , 495           , 0
[02-10 12:13], 504           , 495           , 0
[02-10 12:43], 505           , 495           , 0
[02-10 13:13], 505           , 495           , 0
[02-10 13:43], 505           , 495           , 0
[02-10 14:13], 507           , 495           , 0
[02-10 14:43], 507           , 495           , 0
