real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 391           , 2643          , 0
[03-13 15:29], 2887          , 3629          , 0
[03-13 15:59], 3689          , 3937          , 0
[03-13 16:29], 4120          , 4003          , 0
[03-13 16:59], 4403          , 4034          , 0
[03-13 17:29], 4595          , 4054          , 0
[03-13 17:59], 4748          , 4077          , 0
[03-13 18:29], 5031          , 4125          , 0
[03-13 18:59], 5425          , 4143          , 0
[03-13 19:29], 5657          , 4154          , 0
[03-13 19:59], 5858          , 4156          , 0
[03-13 20:29], 6021          , 4163          , 0
[03-13 20:59], 6192          , 4185          , 0
[03-13 21:29], 6312          , 4186          , 0
[03-13 21:59], 6393          , 4188          , 0
[03-13 22:29], 6478          , 4189          , 0
[03-13 22:59], 6614          , 4204          , 0
[03-13 23:29], 6888          , 4237          , 0
[03-13 23:59], 7128          , 4247          , 0
[03-14 00:29], 7281          , 4248          , 0
[03-14 00:59], 7436          , 4249          , 0
[03-14 01:29], 7576          , 4256          , 0
[03-14 01:59], 7738          , 4271          , 0
[03-14 02:29], 7815          , 4282          , 0
[03-14 02:59], 7868          , 4285          , 0
[03-14 03:29], 7922          , 4286          , 0
[03-14 03:59], 8007          , 4287          , 0
[03-14 04:29], 8052          , 4297          , 0
[03-14 04:59], 8128          , 4306          , 0
[03-14 05:29], 8188          , 4306          , 0
[03-14 05:59], 8243          , 4307          , 0
[03-14 06:29], 8287          , 4309          , 0
[03-14 06:59], 8316          , 4309          , 0
[03-14 07:29], 8358          , 4314          , 0
[03-14 07:59], 8389          , 4315          , 0
[03-14 08:29], 8416          , 4315          , 0
[03-14 08:59], 8440          , 4319          , 0
[03-14 09:29], 8467          , 4322          , 0
[03-14 09:59], 8485          , 4322          , 0
[03-14 10:29], 8510          , 4324          , 0
[03-14 10:59], 8538          , 4327          , 0
[03-14 11:29], 8574          , 4329          , 0
[03-14 11:59], 8589          , 4330          , 0
[03-14 12:29], 8615          , 4334          , 0
[03-14 12:59], 8638          , 4334          , 0
[03-14 13:29], 8655          , 4335          , 0
[03-14 13:59], 8677          , 4336          , 0
[03-14 14:29], 8699          , 4337          , 0
[03-14 14:59], 8716          , 4337          , 0
[03-14 15:29], 8744          , 4340          , 0
[03-14 15:59], 8754          , 4340          , 0
[03-14 16:29], 8766          , 4341          , 0
[03-14 16:59], 8784          , 4341          , 0
[03-14 17:29], 8795          , 4342          , 0
[03-14 17:59], 8806          , 4343          , 0
[03-14 18:29], 8817          , 4343          , 0
[03-14 18:59], 8828          , 4343          , 0
[03-14 19:29], 8847          , 4343          , 0
[03-14 19:59], 8856          , 4343          , 0
[03-14 20:29], 8864          , 4344          , 0
[03-14 20:59], 8879          , 4359          , 0
[03-14 21:29], 8885          , 4359          , 0
[03-14 21:59], 8891          , 4359          , 0
[03-14 22:29], 8900          , 4359          , 0
[03-14 22:59], 8905          , 4359          , 0
[03-14 23:29], 8919          , 4359          , 0
[03-14 23:59], 8931          , 4361          , 0
[03-15 00:29], 8945          , 4367          , 0
[03-15 00:59], 8953          , 4367          , 0
[03-15 01:29], 8963          , 4368          , 0
[03-15 01:59], 8969          , 4368          , 0
[03-15 02:29], 8976          , 4368          , 0
[03-15 02:59], 8981          , 4368          , 0
[03-15 03:29], 8991          , 4373          , 0
[03-15 03:59], 9005          , 4375          , 0
[03-15 04:29], 9015          , 4375          , 0
[03-15 04:59], 9033          , 4378          , 0
[03-15 05:29], 9051          , 4379          , 0
[03-15 05:59], 9063          , 4379          , 0
[03-15 06:29], 9070          , 4379          , 0
[03-15 06:59], 9090          , 4382          , 0
[03-15 07:29], 9098          , 4382          , 0
