real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 82            , 132           , 0
[03-13 15:29], 481           , 231           , 0
[03-13 15:59], 565           , 231           , 0
[03-13 16:29], 635           , 231           , 0
[03-13 16:59], 687           , 231           , 0
[03-13 17:29], 701           , 231           , 0
[03-13 17:59], 704           , 231           , 0
[03-13 18:29], 704           , 231           , 0
[03-13 18:59], 705           , 231           , 0
[03-13 19:29], 705           , 231           , 0
[03-13 19:59], 705           , 231           , 0
[03-13 20:29], 710           , 231           , 0
[03-13 20:59], 711           , 231           , 0
[03-13 21:29], 711           , 231           , 0
[03-13 21:59], 715           , 231           , 0
[03-13 22:29], 715           , 231           , 0
[03-13 22:59], 715           , 231           , 0
[03-13 23:29], 715           , 231           , 0
[03-13 23:59], 715           , 231           , 0
[03-14 00:29], 715           , 231           , 0
[03-14 00:59], 715           , 231           , 0
[03-14 01:29], 715           , 231           , 0
[03-14 01:59], 715           , 231           , 0
[03-14 02:29], 715           , 231           , 0
[03-14 02:59], 715           , 231           , 0
[03-14 03:29], 715           , 231           , 0
[03-14 03:59], 715           , 231           , 0
[03-14 04:29], 715           , 231           , 0
[03-14 04:59], 715           , 231           , 0
[03-14 05:29], 715           , 231           , 0
[03-14 05:59], 715           , 231           , 0
[03-14 06:29], 715           , 231           , 0
[03-14 06:59], 715           , 231           , 0
[03-14 07:29], 715           , 231           , 0
[03-14 07:59], 715           , 231           , 0
[03-14 08:29], 716           , 231           , 0
[03-14 08:59], 716           , 231           , 0
[03-14 09:29], 716           , 231           , 0
[03-14 09:59], 716           , 231           , 0
[03-14 10:29], 716           , 231           , 0
[03-14 10:59], 716           , 231           , 0
[03-14 11:29], 716           , 231           , 0
[03-14 11:59], 717           , 231           , 0
[03-14 12:29], 719           , 231           , 0
[03-14 12:59], 719           , 231           , 0
[03-14 13:29], 719           , 231           , 0
[03-14 13:59], 719           , 231           , 0
[03-14 14:29], 719           , 231           , 0
[03-14 14:59], 719           , 231           , 0
[03-14 15:29], 719           , 231           , 0
[03-14 15:59], 719           , 231           , 0
[03-14 16:29], 719           , 231           , 0
[03-14 16:59], 719           , 231           , 0
[03-14 17:29], 719           , 231           , 0
[03-14 17:59], 719           , 231           , 0
[03-14 18:29], 719           , 231           , 0
[03-14 18:59], 720           , 231           , 0
[03-14 19:29], 720           , 231           , 0
[03-14 19:59], 720           , 231           , 0
[03-14 20:29], 720           , 231           , 0
[03-14 20:59], 720           , 231           , 0
[03-14 21:29], 720           , 231           , 0
[03-14 21:59], 720           , 231           , 0
[03-14 22:29], 721           , 231           , 0
[03-14 22:59], 721           , 231           , 0
[03-14 23:29], 721           , 231           , 0
[03-14 23:59], 721           , 231           , 0
[03-15 00:29], 721           , 231           , 0
[03-15 00:59], 721           , 231           , 0
[03-15 01:29], 721           , 231           , 0
[03-15 01:59], 721           , 231           , 0
[03-15 02:29], 721           , 231           , 0
[03-15 02:59], 721           , 231           , 0
[03-15 03:29], 721           , 231           , 0
[03-15 03:59], 721           , 231           , 0
[03-15 04:29], 721           , 231           , 0
[03-15 04:59], 721           , 231           , 0
[03-15 05:29], 721           , 231           , 0
[03-15 05:59], 721           , 231           , 0
[03-15 06:29], 721           , 231           , 0
[03-15 06:59], 721           , 231           , 0
[03-15 07:29], 721           , 231           , 0
[03-15 07:59], 721           , 231           , 0
[03-15 08:29], 721           , 231           , 0
[03-15 08:59], 721           , 231           , 0
[03-15 09:29], 721           , 231           , 0
[03-15 09:59], 721           , 231           , 0
[03-15 10:29], 721           , 231           , 0
[03-15 10:59], 721           , 231           , 0
