real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 30            , 248           , 0
[03-13 15:29], 170           , 303           , 0
[03-13 15:59], 195           , 308           , 0
[03-13 16:29], 205           , 309           , 0
[03-13 16:59], 213           , 309           , 0
[03-13 17:29], 236           , 310           , 0
[03-13 17:59], 240           , 312           , 0
[03-13 18:29], 245           , 312           , 0
[03-13 18:59], 253           , 312           , 0
[03-13 19:29], 262           , 312           , 0
[03-13 19:59], 269           , 312           , 0
[03-13 20:29], 271           , 312           , 0
[03-13 20:59], 274           , 312           , 0
[03-13 21:29], 276           , 312           , 0
[03-13 21:59], 277           , 312           , 0
[03-13 22:29], 278           , 312           , 0
[03-13 22:59], 279           , 312           , 0
[03-13 23:29], 280           , 312           , 0
[03-13 23:59], 280           , 312           , 0
[03-14 00:29], 282           , 312           , 0
[03-14 00:59], 282           , 312           , 0
[03-14 01:29], 282           , 312           , 0
[03-14 01:59], 283           , 312           , 0
[03-14 02:29], 283           , 312           , 0
[03-14 02:59], 285           , 312           , 0
[03-14 03:29], 286           , 312           , 0
[03-14 03:59], 286           , 312           , 0
[03-14 04:29], 288           , 312           , 0
[03-14 04:59], 288           , 312           , 0
[03-14 05:29], 288           , 312           , 0
[03-14 05:59], 288           , 312           , 0
[03-14 06:29], 288           , 312           , 0
[03-14 06:59], 288           , 312           , 0
[03-14 07:29], 289           , 313           , 0
[03-14 07:59], 289           , 313           , 0
[03-14 08:29], 289           , 313           , 0
[03-14 08:59], 289           , 313           , 0
[03-14 09:29], 289           , 313           , 0
[03-14 09:59], 290           , 313           , 0
[03-14 10:29], 290           , 313           , 0
[03-14 10:59], 290           , 313           , 0
[03-14 11:29], 290           , 313           , 0
[03-14 11:59], 292           , 313           , 0
[03-14 12:29], 292           , 313           , 0
[03-14 12:59], 292           , 313           , 0
[03-14 13:29], 293           , 313           , 0
[03-14 13:59], 294           , 313           , 0
[03-14 14:29], 294           , 313           , 0
[03-14 14:59], 294           , 313           , 0
[03-14 15:29], 294           , 313           , 0
[03-14 15:59], 294           , 313           , 0
[03-14 16:29], 294           , 313           , 0
[03-14 16:59], 294           , 313           , 0
[03-14 17:29], 294           , 313           , 0
[03-14 17:59], 294           , 313           , 0
[03-14 18:29], 294           , 313           , 0
[03-14 18:59], 294           , 313           , 0
[03-14 19:29], 294           , 313           , 0
[03-14 19:59], 294           , 313           , 0
[03-14 20:29], 294           , 313           , 0
[03-14 20:59], 294           , 313           , 0
[03-14 21:29], 294           , 313           , 0
[03-14 21:59], 294           , 313           , 0
[03-14 22:29], 294           , 313           , 0
[03-14 22:59], 294           , 313           , 0
[03-14 23:29], 294           , 313           , 0
[03-14 23:59], 294           , 313           , 0
[03-15 00:29], 294           , 313           , 0
[03-15 00:59], 294           , 313           , 0
[03-15 01:29], 294           , 313           , 0
[03-15 01:59], 294           , 313           , 0
[03-15 02:29], 294           , 313           , 0
[03-15 02:59], 294           , 313           , 0
[03-15 03:29], 294           , 313           , 0
[03-15 03:59], 294           , 313           , 0
[03-15 04:29], 294           , 313           , 0
[03-15 04:59], 294           , 313           , 0
[03-15 05:29], 294           , 313           , 0
[03-15 05:59], 294           , 313           , 0
[03-15 06:29], 294           , 313           , 0
[03-15 06:59], 294           , 313           , 0
[03-15 07:29], 294           , 313           , 0
[03-15 07:59], 294           , 313           , 0
[03-15 08:29], 294           , 313           , 0
[03-15 08:59], 294           , 313           , 0
[03-15 09:29], 294           , 313           , 0
[03-15 09:59], 294           , 313           , 0
[03-15 10:29], 294           , 313           , 0
[03-15 10:59], 294           , 313           , 0
[03-15 11:29], 294           , 313           , 0
[03-15 11:59], 294           , 313           , 0
[03-15 12:29], 294           , 313           , 0
[03-15 12:59], 294           , 313           , 0
[03-15 13:29], 294           , 313           , 0
[03-15 13:59], 294           , 313           , 0
[03-15 14:29], 294           , 313           , 0
[03-15 14:59], 294           , 313           , 0
[03-15 15:29], 294           , 313           , 0
[03-15 15:59], 294           , 313           , 0
[03-15 16:29], 294           , 313           , 0
[03-15 16:59], 294           , 313           , 0
[03-15 17:29], 294           , 313           , 0
[03-15 17:59], 294           , 313           , 0
[03-15 18:29], 294           , 313           , 0
[03-15 18:59], 294           , 313           , 0
[03-15 19:29], 294           , 313           , 0
[03-15 19:59], 294           , 313           , 0
[03-15 20:29], 294           , 313           , 0
[03-15 20:59], 294           , 313           , 0
[03-15 21:29], 294           , 313           , 0
[03-15 21:59], 294           , 313           , 0
[03-15 22:29], 294           , 313           , 0
[03-15 22:59], 294           , 313           , 0
[03-15 23:29], 294           , 313           , 0
[03-15 23:59], 294           , 313           , 0
[03-16 00:29], 294           , 313           , 0
[03-16 00:59], 294           , 313           , 0
[03-16 01:29], 294           , 313           , 0
[03-16 01:59], 294           , 313           , 0
[03-16 02:29], 294           , 313           , 0
[03-16 02:59], 294           , 313           , 0
[03-16 03:29], 294           , 313           , 0
[03-16 03:59], 294           , 313           , 0
[03-16 04:29], 294           , 313           , 0
[03-16 04:59], 294           , 313           , 0
[03-16 05:29], 294           , 313           , 0
[03-16 05:59], 294           , 313           , 0
[03-16 06:29], 294           , 313           , 0
[03-16 06:59], 294           , 313           , 0
[03-16 07:29], 294           , 313           , 0
[03-16 07:59], 294           , 313           , 0
[03-16 08:29], 294           , 313           , 0
[03-16 08:59], 294           , 313           , 0
[03-16 09:29], 294           , 313           , 0
[03-16 09:59], 294           , 313           , 0
[03-16 10:29], 294           , 313           , 0
[03-16 10:59], 294           , 313           , 0
[03-16 11:29], 294           , 313           , 0
[03-16 11:59], 294           , 313           , 0
[03-16 12:29], 294           , 313           , 0
