real_map_size: 18320
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 51            , 1036          , 0
[02-08 17:43], 523           , 1697          , 0
[02-08 18:13], 580           , 1731          , 0
[02-08 18:43], 747           , 1986          , 0
[02-08 19:13], 827           , 2107          , 0
[02-08 19:43], 860           , 2138          , 0
[02-08 20:13], 906           , 2144          , 0
[02-08 20:43], 927           , 2159          , 0
[02-08 21:13], 945           , 2177          , 0
[02-08 21:43], 948           , 2178          , 0
[02-08 22:13], 957           , 2196          , 0
[02-08 22:43], 967           , 2200          , 0
[02-08 23:13], 971           , 2200          , 0
[02-08 23:43], 977           , 2200          , 0
[02-09 00:13], 985           , 2235          , 0
[02-09 00:43], 986           , 2235          , 0
[02-09 01:13], 994           , 2236          , 0
[02-09 01:43], 998           , 2236          , 0
[02-09 02:13], 1000          , 2236          , 0
[02-09 02:43], 1005          , 2236          , 0
[02-09 03:13], 1007          , 2236          , 0
[02-09 03:43], 1007          , 2236          , 0
[02-09 04:13], 1009          , 2236          , 0
[02-09 04:43], 1014          , 2259          , 0
[02-09 05:13], 1049          , 2415          , 0
[02-09 05:43], 1057          , 2439          , 0
[02-09 06:13], 1057          , 2439          , 0
[02-09 06:43], 1059          , 2440          , 0
[02-09 07:13], 1059          , 2440          , 0
[02-09 07:43], 1074          , 2458          , 0
[02-09 08:13], 1080          , 2481          , 0
[02-09 08:43], 1080          , 2481          , 0
[02-09 09:13], 1080          , 2481          , 0
[02-09 09:43], 1080          , 2481          , 0
[02-09 10:13], 1081          , 2482          , 0
[02-09 10:43], 1087          , 2496          , 0
[02-09 11:13], 1100          , 2543          , 0
[02-09 11:43], 1120          , 2558          , 0
[02-09 12:13], 1137          , 2558          , 0
[02-09 12:43], 1142          , 2558          , 0
[02-09 13:13], 1159          , 2587          , 0
[02-09 13:43], 1160          , 2590          , 0
[02-09 14:13], 1161          , 2590          , 0
[02-09 14:43], 1165          , 2590          , 0
[02-09 15:13], 1165          , 2590          , 0
[02-09 15:43], 1177          , 2590          , 0
[02-09 16:13], 1184          , 2590          , 0
[02-09 16:43], 1186          , 2590          , 0
[02-09 17:13], 1187          , 2590          , 0
[02-09 17:43], 1188          , 2590          , 0
[02-09 18:13], 1190          , 2602          , 0
[02-09 18:43], 1192          , 2602          , 0
[02-09 19:13], 1195          , 2602          , 0
[02-09 19:43], 1197          , 2602          , 0
[02-09 20:13], 1200          , 2602          , 0
[02-09 20:43], 1202          , 2602          , 0
[02-09 21:13], 1202          , 2602          , 0
[02-09 21:43], 1203          , 2602          , 0
[02-09 22:13], 1204          , 2602          , 0
[02-09 22:43], 1207          , 2602          , 0
[02-09 23:13], 1210          , 2602          , 0
[02-09 23:43], 1214          , 2602          , 0
[02-10 00:13], 1216          , 2602          , 0
[02-10 00:43], 1218          , 2602          , 0
[02-10 01:13], 1220          , 2602          , 0
[02-10 01:43], 1222          , 2602          , 0
[02-10 02:13], 1225          , 2602          , 0
[02-10 02:43], 1230          , 2614          , 0
[02-10 03:13], 1230          , 2614          , 0
[02-10 03:43], 1234          , 2624          , 0
[02-10 04:13], 1240          , 2645          , 0
[02-10 04:43], 1240          , 2645          , 0
[02-10 05:13], 1241          , 2645          , 0
[02-10 05:43], 1242          , 2645          , 0
[02-10 06:13], 1242          , 2645          , 0
[02-10 06:43], 1244          , 2645          , 0
[02-10 07:13], 1248          , 2645          , 0
[02-10 07:43], 1250          , 2645          , 0
[02-10 08:13], 1251          , 2645          , 0
[02-10 08:43], 1252          , 2645          , 0
[02-10 09:13], 1252          , 2645          , 0
[02-10 09:43], 1253          , 2645          , 0
[02-10 10:13], 1253          , 2645          , 0
[02-10 10:43], 1254          , 2645          , 0
[02-10 11:13], 1255          , 2655          , 0
[02-10 11:43], 1256          , 2655          , 0
[02-10 12:13], 1256          , 2655          , 0
[02-10 12:43], 1257          , 2655          , 0
[02-10 13:13], 1258          , 2655          , 0
[02-10 13:43], 1261          , 2655          , 0
[02-10 14:13], 1261          , 2655          , 0
[02-10 14:43], 1262          , 2655          , 0
