real_map_size: 13436
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 29            , 3103          , 0
[02-08 17:43], 1348          , 3822          , 0
[02-08 18:13], 1819          , 4419          , 0
[02-08 18:43], 2243          , 4805          , 0
[02-08 19:13], 2404          , 4888          , 0
[02-08 19:43], 2815          , 5476          , 0
[02-08 20:13], 3171          , 5701          , 0
[02-08 20:43], 3360          , 5893          , 0
[02-08 21:13], 3424          , 5926          , 0
[02-08 21:43], 3488          , 5943          , 0
[02-08 22:13], 3696          , 6147          , 0
[02-08 22:43], 3797          , 6215          , 0
[02-08 23:13], 4025          , 6298          , 0
[02-08 23:43], 4100          , 6324          , 0
[02-09 00:13], 4358          , 6404          , 0
[02-09 00:43], 4471          , 6416          , 0
[02-09 01:13], 4513          , 6427          , 0
[02-09 01:43], 4531          , 6430          , 0
[02-09 02:13], 4545          , 6431          , 0
[02-09 02:43], 4584          , 6436          , 0
[02-09 03:13], 4657          , 6449          , 0
[02-09 03:43], 4731          , 6481          , 0
[02-09 04:13], 4792          , 6532          , 0
[02-09 04:43], 4818          , 6541          , 0
[02-09 05:13], 4851          , 6554          , 0
[02-09 05:43], 4903          , 6571          , 0
[02-09 06:13], 4953          , 6577          , 0
[02-09 06:43], 5104          , 6743          , 0
[02-09 07:13], 5273          , 6800          , 0
[02-09 07:43], 5362          , 6827          , 0
[02-09 08:13], 5383          , 6828          , 0
[02-09 08:43], 5408          , 6831          , 0
[02-09 09:13], 5432          , 6850          , 0
[02-09 09:43], 5469          , 6858          , 0
[02-09 10:13], 5557          , 6878          , 0
[02-09 10:43], 5578          , 6880          , 0
[02-09 11:13], 5627          , 6885          , 0
[02-09 11:43], 5635          , 6887          , 0
[02-09 12:13], 5648          , 6887          , 0
[02-09 12:43], 5665          , 6890          , 0
[02-09 13:13], 5678          , 6891          , 0
[02-09 13:43], 5739          , 6941          , 0
[02-09 14:13], 5820          , 6964          , 0
[02-09 14:43], 5880          , 6982          , 0
[02-09 15:13], 5910          , 6989          , 0
[02-09 15:43], 5997          , 6997          , 0
[02-09 16:13], 6042          , 6997          , 0
[02-09 16:43], 6054          , 7000          , 0
[02-09 17:13], 6072          , 7000          , 0
[02-09 17:43], 6087          , 7000          , 0
[02-09 18:13], 6110          , 7003          , 0
[02-09 18:43], 6143          , 7006          , 0
[02-09 19:13], 6153          , 7007          , 0
[02-09 19:43], 6164          , 7008          , 0
[02-09 20:13], 6185          , 7015          , 0
[02-09 20:43], 6215          , 7022          , 0
[02-09 21:13], 6240          , 7025          , 0
[02-09 21:43], 6257          , 7028          , 1
[02-09 22:13], 6286          , 7030          , 1
[02-09 22:43], 6294          , 7030          , 1
[02-09 23:13], 6330          , 7037          , 1
[02-09 23:43], 6351          , 7041          , 1
[02-10 00:13], 6375          , 7043          , 1
[02-10 00:43], 6477          , 7050          , 2
[02-10 01:13], 6509          , 7051          , 2
[02-10 01:43], 6523          , 7051          , 2
[02-10 02:13], 6533          , 7066          , 2
[02-10 02:43], 6559          , 7070          , 2
[02-10 03:13], 6607          , 7071          , 2
[02-10 03:43], 6709          , 7073          , 2
[02-10 04:13], 6728          , 7075          , 2
[02-10 04:43], 6738          , 7075          , 2
[02-10 05:13], 6769          , 7076          , 2
[02-10 05:43], 6785          , 7076          , 2
[02-10 06:13], 6796          , 7076          , 2
[02-10 06:43], 6814          , 7077          , 2
[02-10 07:13], 6828          , 7079          , 3
[02-10 07:43], 6850          , 7080          , 3
[02-10 08:13], 6881          , 7082          , 3
[02-10 08:43], 6895          , 7086          , 3
[02-10 09:13], 6902          , 7086          , 3
[02-10 09:43], 6913          , 7086          , 3
[02-10 10:13], 6932          , 7090          , 4
[02-10 10:43], 6967          , 7090          , 4
[02-10 11:13], 6978          , 7090          , 4
[02-10 11:43], 6997          , 7090          , 4
[02-10 12:13], 7022          , 7091          , 4
[02-10 12:43], 7044          , 7091          , 4
[02-10 13:13], 7050          , 7091          , 4
[02-10 13:43], 7066          , 7092          , 4
[02-10 14:13], 7106          , 7093          , 4
