real_map_size: 14275
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 18            , 1583          , 0
[03-13 15:29], 189           , 2126          , 6
[03-13 15:59], 206           , 2152          , 6
[03-13 16:29], 215           , 2155          , 7
[03-13 16:59], 228           , 2156          , 7
[03-13 17:29], 236           , 2169          , 7
[03-13 17:59], 245           , 2175          , 9
[03-13 18:29], 255           , 2175          , 9
[03-13 18:59], 261           , 2178          , 10
[03-13 19:29], 273           , 2182          , 10
[03-13 19:59], 275           , 2182          , 10
[03-13 20:29], 282           , 2183          , 10
[03-13 20:59], 282           , 2183          , 10
[03-13 21:29], 307           , 2292          , 10
[03-13 21:59], 309           , 2293          , 10
[03-13 22:29], 311           , 2296          , 10
[03-13 22:59], 315           , 2296          , 10
[03-13 23:29], 319           , 2301          , 10
[03-13 23:59], 324           , 2304          , 10
[03-14 00:29], 324           , 2304          , 10
[03-14 00:59], 324           , 2304          , 10
[03-14 01:29], 347           , 2304          , 10
[03-14 01:59], 357           , 2304          , 10
[03-14 02:29], 364           , 2304          , 10
[03-14 02:59], 368           , 2304          , 10
[03-14 03:29], 381           , 2308          , 10
[03-14 03:59], 386           , 2308          , 10
[03-14 04:29], 390           , 2308          , 10
[03-14 04:59], 807           , 3319          , 47
[03-14 05:29], 822           , 3331          , 47
[03-14 05:59], 834           , 3352          , 47
[03-14 06:29], 844           , 3402          , 49
[03-14 06:59], 878           , 3460          , 54
[03-14 07:29], 890           , 3475          , 59
[03-14 07:59], 904           , 3508          , 61
[03-14 08:29], 913           , 3541          , 62
[03-14 08:59], 919           , 3543          , 65
[03-14 09:29], 930           , 3553          , 70
[03-14 09:59], 939           , 3563          , 74
[03-14 10:29], 975           , 3664          , 85
[03-14 10:59], 987           , 3666          , 89
[03-14 11:29], 998           , 3669          , 89
[03-14 11:59], 1005          , 3674          , 91
[03-14 12:29], 1011          , 3681          , 96
[03-14 12:59], 1016          , 3684          , 103
[03-14 13:29], 1046          , 3730          , 108
[03-14 13:59], 1052          , 3733          , 108
[03-14 14:29], 1056          , 3740          , 112
[03-14 14:59], 1065          , 3750          , 115
[03-14 15:29], 1074          , 3767          , 116
[03-14 15:59], 1111          , 3778          , 127
[03-14 16:29], 1118          , 3780          , 129
[03-14 16:59], 1129          , 3781          , 130
[03-14 17:29], 1130          , 3781          , 131
[03-14 17:59], 1134          , 3783          , 131
[03-14 18:29], 1136          , 3786          , 131
[03-14 18:59], 1166          , 3816          , 138
[03-14 19:29], 1204          , 3849          , 142
[03-14 19:59], 1207          , 3849          , 145
[03-14 20:29], 1210          , 3874          , 147
[03-14 20:59], 1216          , 3874          , 149
[03-14 21:29], 1219          , 3893          , 154
[03-14 21:59], 1223          , 3897          , 158
[03-14 22:29], 1502          , 4380          , 274
[03-14 22:59], 1517          , 4384          , 285
[03-14 23:29], 1528          , 4384          , 294
[03-14 23:59], 1534          , 4389          , 310
[03-15 00:29], 1548          , 4392          , 321
[03-15 00:59], 1618          , 4436          , 352
[03-15 01:29], 1639          , 4452          , 383
[03-15 01:59], 1664          , 4481          , 417
[03-15 02:29], 1678          , 4497          , 445
[03-15 02:59], 1695          , 4498          , 467
[03-15 03:29], 1706          , 4506          , 485
[03-15 03:59], 1717          , 4510          , 509
[03-15 04:29], 1731          , 4516          , 539
[03-15 04:59], 1738          , 4518          , 571
[03-15 05:29], 1751          , 4525          , 595
[03-15 05:59], 1774          , 4528          , 620
[03-15 06:29], 1781          , 4528          , 628
[03-15 06:59], 1816          , 4550          , 667
[03-15 07:29], 1825          , 4550          , 687
[03-15 07:59], 1837          , 4555          , 707
[03-15 08:29], 1843          , 4558          , 727
[03-15 08:59], 1853          , 4558          , 747
[03-15 09:29], 1864          , 4560          , 769
[03-15 09:59], 1872          , 4561          , 792
[03-15 10:29], 1878          , 4563          , 807
[03-15 10:59], 1886          , 4564          , 821
[03-15 11:29], 1890          , 4584          , 838
[03-15 11:59], 1894          , 4584          , 847
[03-15 12:29], 1949          , 4601          , 873
[03-15 12:59], 1962          , 4606          , 907
[03-15 13:29], 1973          , 4606          , 935
[03-15 13:59], 1982          , 4606          , 969
[03-15 14:29], 1993          , 4609          , 995
[03-15 14:59], 1998          , 4610          , 1031
[03-15 15:29], 2004          , 4610          , 1048
[03-15 15:59], 2016          , 4619          , 1067
[03-15 16:29], 2021          , 4619          , 1104
[03-15 16:59], 2033          , 4619          , 1125
[03-15 17:29], 2050          , 4635          , 1179
[03-15 17:59], 2111          , 4804          , 1202
[03-15 18:29], 2118          , 4816          , 1203
[03-15 18:59], 2123          , 4833          , 1205
[03-15 19:29], 2127          , 4833          , 1210
[03-15 19:59], 2131          , 4835          , 1215
[03-15 20:29], 2136          , 4842          , 1218
[03-15 20:59], 2139          , 4849          , 1219
[03-15 21:29], 2142          , 4855          , 1223
[03-15 21:59], 2143          , 4856          , 1226
[03-15 22:29], 2145          , 4858          , 1226
[03-15 22:59], 2148          , 4861          , 1257
[03-15 23:29], 2156          , 4867          , 1275
[03-15 23:59], 2160          , 4871          , 1290
[03-16 00:29], 2163          , 4872          , 1304
[03-16 00:59], 2168          , 4872          , 1323
[03-16 01:29], 2175          , 4873          , 1339
[03-16 01:59], 2182          , 4875          , 1350
[03-16 02:29], 2185          , 4876          , 1369
[03-16 02:59], 2188          , 4876          , 1383
[03-16 03:29], 2201          , 4877          , 1388
[03-16 03:59], 2216          , 4879          , 1416
[03-16 04:29], 2223          , 4879          , 1460
[03-16 04:59], 2229          , 4879          , 1497
[03-16 05:29], 2240          , 4880          , 1535
[03-16 05:59], 2250          , 4885          , 1575
[03-16 06:29], 2255          , 4885          , 1619
[03-16 06:59], 2282          , 4889          , 1639
[03-16 07:29], 2292          , 4905          , 1691
[03-16 07:59], 2297          , 4905          , 1725
[03-16 08:29], 2299          , 4905          , 1765
[03-16 08:59], 2305          , 4905          , 1792
[03-16 09:29], 2311          , 4909          , 1828
[03-16 09:59], 2313          , 4909          , 1862
[03-16 10:29], 2319          , 4911          , 1878
[03-16 10:59], 2327          , 4911          , 1898
[03-16 11:29], 2331          , 4914          , 1935
[03-16 11:59], 2336          , 4914          , 1974
[03-16 12:29], 2341          , 4914          , 2015
