real_map_size: 15693
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 166           , 1960          , 0
[02-08 17:43], 1022          , 2222          , 0
[02-08 18:13], 1253          , 2253          , 0
[02-08 18:43], 1326          , 2260          , 0
[02-08 19:13], 1420          , 2270          , 0
[02-08 19:43], 1460          , 2277          , 1
[02-08 20:13], 1488          , 2291          , 1
[02-08 20:43], 1551          , 2300          , 1
[02-08 21:13], 1589          , 2311          , 1
[02-08 21:43], 1622          , 2312          , 1
[02-08 22:13], 1675          , 2320          , 1
[02-08 22:43], 1712          , 2323          , 1
[02-08 23:13], 1736          , 2324          , 1
[02-08 23:43], 1755          , 2324          , 2
[02-09 00:13], 1775          , 2326          , 2
[02-09 00:43], 1795          , 2329          , 2
[02-09 01:13], 1807          , 2333          , 2
[02-09 01:43], 1821          , 2333          , 3
[02-09 02:13], 1846          , 2336          , 3
[02-09 02:43], 1857          , 2336          , 3
[02-09 03:13], 1861          , 2336          , 3
[02-09 03:43], 1882          , 2336          , 3
[02-09 04:13], 1890          , 2336          , 3
[02-09 04:43], 1896          , 2336          , 3
[02-09 05:13], 1903          , 2336          , 3
[02-09 05:43], 1908          , 2339          , 3
[02-09 06:13], 1920          , 2339          , 3
[02-09 06:43], 1934          , 2339          , 3
[02-09 07:13], 2061          , 2363          , 3
[02-09 07:43], 2153          , 2375          , 3
[02-09 08:13], 2193          , 2412          , 3
[02-09 08:43], 2214          , 2413          , 4
[02-09 09:13], 2230          , 2414          , 4
[02-09 09:43], 2259          , 2419          , 4
[02-09 10:13], 2273          , 2420          , 4
[02-09 10:43], 2290          , 2421          , 4
[02-09 11:13], 2294          , 2421          , 4
[02-09 11:43], 2305          , 2422          , 4
[02-09 12:13], 2312          , 2422          , 4
[02-09 12:43], 2316          , 2423          , 5
[02-09 13:13], 2339          , 2426          , 5
[02-09 13:43], 2359          , 2427          , 5
[02-09 14:13], 2367          , 2427          , 5
[02-09 14:43], 2374          , 2427          , 5
[02-09 15:13], 2379          , 2427          , 5
[02-09 15:43], 2384          , 2427          , 5
[02-09 16:13], 2386          , 2427          , 5
[02-09 16:43], 2389          , 2427          , 5
[02-09 17:13], 2390          , 2427          , 5
[02-09 17:43], 2392          , 2427          , 5
[02-09 18:13], 2395          , 2427          , 5
[02-09 18:43], 2397          , 2427          , 5
[02-09 19:13], 2405          , 2427          , 5
[02-09 19:43], 2409          , 2427          , 5
[02-09 20:13], 2410          , 2427          , 5
[02-09 20:43], 2411          , 2427          , 5
[02-09 21:13], 2413          , 2427          , 5
[02-09 21:43], 2415          , 2427          , 5
[02-09 22:13], 2420          , 2427          , 5
[02-09 22:43], 2424          , 2427          , 5
[02-09 23:13], 2432          , 2427          , 5
[02-09 23:43], 2436          , 2429          , 5
[02-10 00:13], 2440          , 2429          , 5
[02-10 00:43], 2441          , 2429          , 5
[02-10 01:13], 2444          , 2429          , 5
[02-10 01:43], 2451          , 2429          , 5
[02-10 02:13], 2454          , 2430          , 5
[02-10 02:43], 2455          , 2430          , 5
[02-10 03:13], 2471          , 2430          , 5
[02-10 03:43], 2480          , 2430          , 5
[02-10 04:13], 2484          , 2430          , 5
[02-10 04:43], 2486          , 2430          , 5
[02-10 05:13], 2488          , 2431          , 5
[02-10 05:43], 2489          , 2431          , 5
[02-10 06:13], 2493          , 2431          , 5
[02-10 06:43], 2496          , 2431          , 5
[02-10 07:13], 2499          , 2431          , 5
[02-10 07:43], 2502          , 2431          , 5
[02-10 08:13], 2507          , 2431          , 5
[02-10 08:43], 2511          , 2433          , 5
[02-10 09:13], 2513          , 2433          , 5
[02-10 09:43], 2515          , 2437          , 5
[02-10 10:13], 2516          , 2437          , 5
[02-10 10:43], 2516          , 2437          , 5
[02-10 11:13], 2517          , 2437          , 5
[02-10 11:43], 2520          , 2437          , 5
[02-10 12:13], 2523          , 2439          , 5
[02-10 12:43], 2534          , 2441          , 5
[02-10 13:13], 2537          , 2441          , 5
[02-10 13:43], 2542          , 2441          , 5
[02-10 14:13], 2544          , 2441          , 5
[02-10 14:43], 2549          , 2441          , 5
