real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 153           , 497           , 0
[03-13 15:29], 896           , 1561          , 0
[03-13 15:59], 1128          , 1905          , 0
[03-13 16:29], 1256          , 2229          , 0
[03-13 16:59], 1311          , 2326          , 0
[03-13 17:29], 1447          , 2522          , 0
[03-13 17:59], 1521          , 2576          , 0
[03-13 18:29], 1686          , 2782          , 0
[03-13 18:59], 1795          , 2880          , 0
[03-13 19:29], 1862          , 2899          , 0
[03-13 19:59], 1932          , 2948          , 0
[03-13 20:29], 2015          , 2977          , 0
[03-13 20:59], 2074          , 2998          , 0
[03-13 21:29], 2140          , 3031          , 0
[03-13 21:59], 2204          , 3071          , 0
[03-13 22:29], 2305          , 3138          , 0
[03-13 22:59], 2394          , 3221          , 0
[03-13 23:29], 2483          , 3276          , 0
[03-13 23:59], 2531          , 3350          , 0
[03-14 00:29], 2567          , 3362          , 0
[03-14 00:59], 2594          , 3370          , 0
[03-14 01:29], 2646          , 3405          , 0
[03-14 01:59], 2695          , 3430          , 0
[03-14 02:29], 2708          , 3439          , 0
[03-14 02:59], 2708          , 3439          , 0
[03-14 03:29], 2708          , 3439          , 0
[03-14 03:59], 2708          , 3439          , 0
[03-14 04:29], 2710          , 3439          , 0
[03-14 04:59], 2710          , 3439          , 0
[03-14 05:29], 2710          , 3439          , 0
[03-14 05:59], 2710          , 3439          , 0
[03-14 06:29], 2711          , 3440          , 0
[03-14 06:59], 2711          , 3440          , 0
[03-14 07:29], 2711          , 3440          , 0
[03-14 07:59], 2711          , 3440          , 0
[03-14 08:29], 2711          , 3440          , 0
[03-14 08:59], 2711          , 3440          , 0
[03-14 09:29], 2711          , 3440          , 0
[03-14 09:59], 2711          , 3440          , 0
[03-14 10:29], 2711          , 3440          , 0
[03-14 10:59], 2711          , 3440          , 0
[03-14 11:29], 2711          , 3440          , 0
[03-14 11:59], 2711          , 3440          , 0
[03-14 12:29], 2712          , 3441          , 0
[03-14 12:59], 2712          , 3441          , 0
[03-14 13:29], 2712          , 3441          , 0
[03-14 13:59], 2713          , 3441          , 0
[03-14 14:29], 2713          , 3441          , 0
[03-14 14:59], 2713          , 3441          , 0
[03-14 15:29], 2713          , 3441          , 0
[03-14 15:59], 2713          , 3441          , 0
[03-14 16:29], 2719          , 3448          , 0
[03-14 16:59], 2719          , 3448          , 0
[03-14 17:29], 2719          , 3448          , 0
[03-14 17:59], 2719          , 3448          , 0
[03-14 18:29], 2722          , 3448          , 0
[03-14 18:59], 2722          , 3448          , 0
[03-14 19:29], 2722          , 3448          , 0
[03-14 19:59], 2725          , 3448          , 0
[03-14 20:29], 2725          , 3448          , 0
[03-14 20:59], 2725          , 3448          , 0
[03-14 21:29], 2725          , 3448          , 0
[03-14 21:59], 2725          , 3448          , 0
[03-14 22:29], 2726          , 3448          , 0
[03-14 22:59], 2727          , 3449          , 0
[03-14 23:29], 2727          , 3449          , 0
[03-14 23:59], 2727          , 3449          , 0
[03-15 00:29], 2727          , 3449          , 0
[03-15 00:59], 2727          , 3449          , 0
[03-15 01:29], 2727          , 3449          , 0
[03-15 01:59], 2730          , 3449          , 0
[03-15 02:29], 2730          , 3449          , 0
[03-15 02:59], 2730          , 3449          , 0
[03-15 03:29], 2731          , 3449          , 0
[03-15 03:59], 2731          , 3449          , 0
[03-15 04:29], 2731          , 3449          , 0
[03-15 04:59], 2731          , 3449          , 0
[03-15 05:29], 2731          , 3449          , 0
[03-15 05:59], 2731          , 3449          , 0
[03-15 06:29], 2731          , 3449          , 0
[03-15 06:59], 2731          , 3449          , 0
[03-15 07:29], 2731          , 3449          , 0
[03-15 07:59], 2731          , 3449          , 0
[03-15 08:29], 2731          , 3449          , 0
[03-15 08:59], 2737          , 3449          , 0
[03-15 09:29], 2737          , 3449          , 0
[03-15 09:59], 2739          , 3449          , 0
[03-15 10:29], 2741          , 3449          , 0
[03-15 10:59], 2741          , 3449          , 0
[03-15 11:29], 2742          , 3449          , 0
