real_map_size: 15927
loging--time, explored-paths, covered-blocks, crashes
[02-08 17:13], 295           , 2342          , 0
[02-08 17:43], 1832          , 3292          , 0
[02-08 18:13], 2575          , 3533          , 0
[02-08 18:43], 3012          , 3844          , 0
[02-08 19:13], 3297          , 3981          , 0
[02-08 19:43], 3442          , 4032          , 0
[02-08 20:13], 3579          , 4099          , 0
[02-08 20:43], 3650          , 4130          , 0
[02-08 21:13], 3736          , 4180          , 0
[02-08 21:43], 3813          , 4197          , 0
[02-08 22:13], 3908          , 4216          , 0
[02-08 22:43], 4042          , 4227          , 0
[02-08 23:13], 4106          , 4233          , 0
[02-08 23:43], 4161          , 4240          , 0
[02-09 00:13], 4234          , 4248          , 0
[02-09 00:43], 4298          , 4264          , 0
[02-09 01:13], 4348          , 4278          , 0
[02-09 01:43], 4444          , 4323          , 0
[02-09 02:13], 4527          , 4355          , 0
[02-09 02:43], 4636          , 4361          , 0
[02-09 03:13], 4712          , 4371          , 0
[02-09 03:43], 4760          , 4375          , 0
[02-09 04:13], 4864          , 4400          , 0
[02-09 04:43], 4919          , 4408          , 0
[02-09 05:13], 4978          , 4413          , 0
[02-09 05:43], 5034          , 4414          , 0
[02-09 06:13], 5066          , 4416          , 0
[02-09 06:43], 5098          , 4423          , 0
[02-09 07:13], 5125          , 4427          , 0
[02-09 07:43], 5161          , 4479          , 0
[02-09 08:13], 5213          , 4480          , 0
[02-09 08:43], 5230          , 4482          , 0
[02-09 09:13], 5274          , 4503          , 0
[02-09 09:43], 5317          , 4507          , 0
[02-09 10:13], 5350          , 4512          , 0
[02-09 10:43], 5365          , 4513          , 0
[02-09 11:13], 5379          , 4515          , 0
[02-09 11:43], 5410          , 4551          , 0
[02-09 12:13], 5435          , 4551          , 0
[02-09 12:43], 5503          , 4566          , 0
[02-09 13:13], 5510          , 4567          , 0
[02-09 13:43], 5537          , 4570          , 0
[02-09 14:13], 5555          , 4572          , 0
[02-09 14:43], 5573          , 4573          , 0
[02-09 15:13], 5588          , 4574          , 0
[02-09 15:43], 5602          , 4574          , 0
[02-09 16:13], 5608          , 4575          , 0
[02-09 16:43], 5638          , 4594          , 0
[02-09 17:13], 5661          , 4597          , 0
[02-09 17:43], 5675          , 4598          , 0
[02-09 18:13], 5716          , 4601          , 0
[02-09 18:43], 5741          , 4601          , 0
[02-09 19:13], 5758          , 4605          , 0
[02-09 19:43], 5783          , 4621          , 0
[02-09 20:13], 5820          , 4622          , 0
[02-09 20:43], 5842          , 4622          , 0
[02-09 21:13], 5886          , 4622          , 0
[02-09 21:43], 5938          , 4624          , 0
[02-09 22:13], 5988          , 4630          , 0
[02-09 22:43], 6006          , 4630          , 0
[02-09 23:13], 6060          , 4635          , 0
[02-09 23:43], 6088          , 4636          , 0
[02-10 00:13], 6130          , 4636          , 0
[02-10 00:43], 6184          , 4637          , 0
[02-10 01:13], 6208          , 4639          , 0
[02-10 01:43], 6226          , 4641          , 0
[02-10 02:13], 6243          , 4643          , 0
[02-10 02:43], 6253          , 4646          , 0
[02-10 03:13], 6267          , 4646          , 0
[02-10 03:43], 6282          , 4650          , 0
[02-10 04:13], 6308          , 4651          , 0
[02-10 04:43], 6337          , 4657          , 0
[02-10 05:13], 6353          , 4660          , 0
[02-10 05:43], 6360          , 4660          , 0
[02-10 06:13], 6395          , 4661          , 0
[02-10 06:43], 6478          , 4693          , 0
[02-10 07:13], 6484          , 4694          , 0
[02-10 07:43], 6494          , 4695          , 0
[02-10 08:13], 6515          , 4697          , 0
[02-10 08:43], 6524          , 4698          , 0
[02-10 09:13], 6534          , 4698          , 0
[02-10 09:43], 6546          , 4700          , 0
[02-10 10:13], 6551          , 4700          , 0
[02-10 10:43], 6561          , 4701          , 0
[02-10 11:13], 6566          , 4701          , 0
[02-10 11:43], 6569          , 4701          , 0
[02-10 12:13], 6575          , 4701          , 0
[02-10 12:43], 6576          , 4702          , 0
[02-10 13:13], 6579          , 4703          , 0
[02-10 13:43], 6587          , 4704          , 0
[02-10 14:13], 6592          , 4705          , 0
