real_map_size: 45829
loging--time, explored-paths, covered-blocks, crashes
[03-13 21:00], 8             , 5257          , 0
[03-13 15:30], 180           , 5391          , 37
[03-13 16:00], 366           , 6329          , 97
[03-13 16:30], 503           , 6460          , 168
[03-13 17:00], 606           , 6650          , 212
[03-13 17:30], 662           , 6663          , 232
[03-13 18:00], 710           , 6677          , 257
[03-13 18:30], 757           , 6717          , 277
[03-13 19:00], 845           , 6739          , 345
[03-13 19:30], 954           , 6757          , 431
[03-13 20:00], 1058          , 6769          , 526
[03-13 20:30], 1129          , 6828          , 607
[03-13 21:00], 1156          , 6833          , 657
[03-13 21:30], 1216          , 6887          , 745
[03-13 22:00], 1285          , 6988          , 826
[03-13 22:30], 1319          , 6998          , 907
[03-13 23:00], 1330          , 7003          , 919
[03-13 23:30], 1346          , 7008          , 1036
[03-14 00:00], 1366          , 7016          , 1134
[03-14 00:30], 1405          , 7034          , 1184
[03-14 01:00], 1413          , 7042          , 1266
[03-14 01:30], 1421          , 7055          , 1280
[03-14 02:00], 1431          , 7072          , 1302
[03-14 02:30], 1433          , 7072          , 1361
[03-14 03:00], 1445          , 7085          , 1424
[03-14 03:30], 1452          , 7086          , 1541
[03-14 04:00], 1484          , 7088          , 1686
[03-14 04:30], 1506          , 7099          , 1812
[03-14 05:00], 1511          , 7099          , 1893
[03-14 05:30], 1532          , 7106          , 1961
[03-14 06:00], 1586          , 7122          , 2057
[03-14 06:30], 1634          , 7144          , 2143
[03-14 07:00], 1688          , 7167          , 2223
[03-14 07:30], 1694          , 7172          , 2260
[03-14 08:00], 1696          , 7172          , 2340
[03-14 08:30], 1697          , 7172          , 2350
[03-14 09:00], 1705          , 7172          , 2494
[03-14 09:30], 1706          , 7172          , 2589
[03-14 10:00], 1714          , 7172          , 2644
[03-14 10:30], 1731          , 7185          , 2717
[03-14 11:00], 1749          , 7197          , 2793
[03-14 11:30], 1766          , 7197          , 2922
[03-14 12:00], 1775          , 7197          , 2981
[03-14 12:30], 1781          , 7197          , 3044
[03-14 13:00], 1783          , 7197          , 3055
[03-14 13:30], 1792          , 7198          , 3172
[03-14 14:00], 1797          , 7200          , 3234
[03-14 14:30], 1798          , 7200          , 3394
[03-14 15:00], 1798          , 7200          , 3503
[03-14 15:30], 1811          , 7204          , 3632
[03-14 16:00], 1820          , 7209          , 3685
[03-14 16:30], 1830          , 7209          , 3738
[03-14 17:00], 1872          , 7241          , 3873
[03-14 17:30], 1896          , 7249          , 3967
[03-14 18:00], 1912          , 7249          , 4092
[03-14 18:30], 1943          , 7250          , 4281
[03-14 19:00], 1950          , 7252          , 4371
[03-14 19:30], 1954          , 7253          , 4440
[03-14 20:00], 1957          , 7254          , 4492
[03-14 20:30], 1963          , 7266          , 4541
[03-14 21:00], 1970          , 7266          , 4618
[03-14 21:30], 1971          , 7266          , 4632
[03-14 22:00], 1978          , 7268          , 4681
[03-14 22:30], 1981          , 7268          , 4756
[03-14 23:00], 1985          , 7268          , 4917
[03-14 23:30], 1987          , 7268          , 5152
[03-15 00:00], 1990          , 7270          , 5208
[03-15 00:30], 1992          , 7272          , 5250
[03-15 01:00], 1995          , 7272          , 5279
[03-15 01:30], 1996          , 7272          , 5349
[03-15 02:00], 2001          , 7274          , 5402
[03-15 02:30], 2006          , 7274          , 5448
[03-15 03:00], 2009          , 7274          , 5516
[03-15 03:30], 2015          , 7274          , 5618
[03-15 04:00], 2016          , 7274          , 5670
[03-15 04:30], 2016          , 7274          , 5746
[03-15 05:00], 2020          , 7277          , 5797
[03-15 05:30], 2021          , 7277          , 5884
[03-15 06:00], 2021          , 7277          , 5884
[03-15 06:30], 2021          , 7277          , 5884
[03-15 07:00], 2025          , 7283          , 5909
[03-15 07:30], 2027          , 7283          , 5956
[03-15 08:00], 2029          , 7283          , 6008
[03-15 08:30], 2033          , 7283          , 6111
[03-15 09:00], 2034          , 7283          , 6184
[03-15 09:30], 2035          , 7283          , 6294
[03-15 10:00], 2035          , 7283          , 6376
[03-15 10:30], 2036          , 7283          , 6480
[03-15 11:00], 2038          , 7292          , 6560
[03-15 11:30], 2040          , 7292          , 6639
[03-15 12:00], 2041          , 7292          , 6718
[03-15 12:30], 2053          , 7292          , 6802
[03-15 13:00], 2073          , 7294          , 6957
[03-15 13:30], 2082          , 7294          , 7003
[03-15 14:00], 2082          , 7294          , 7003
[03-15 14:30], 2085          , 7294          , 7062
[03-15 15:00], 2087          , 7294          , 7089
[03-15 15:30], 2091          , 7296          , 7190
[03-15 16:00], 2092          , 7296          , 7212
[03-15 16:30], 2096          , 7297          , 7359
[03-15 17:00], 2100          , 7297          , 7416
[03-15 17:30], 2104          , 7297          , 7482
[03-15 18:00], 2107          , 7298          , 7552
[03-15 18:30], 2110          , 7298          , 7624
[03-15 19:00], 2116          , 7304          , 7864
[03-15 19:30], 2121          , 7312          , 7961
[03-15 20:00], 2126          , 7319          , 8042
[03-15 20:30], 2162          , 7388          , 8177
[03-15 21:00], 2162          , 7388          , 8177
[03-15 21:30], 2162          , 7388          , 8177
[03-15 22:00], 2162          , 7388          , 8202
