real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[03-13 20:59], 92            , 1243          , 0
[03-13 15:29], 920           , 1499          , 0
[03-13 15:59], 1067          , 1512          , 0
[03-13 16:29], 1123          , 1520          , 0
[03-13 16:59], 1249          , 1526          , 0
[03-13 17:29], 1308          , 1527          , 0
[03-13 17:59], 1355          , 1527          , 0
[03-13 18:29], 1385          , 1527          , 0
[03-13 18:59], 1408          , 1539          , 0
[03-13 19:29], 1433          , 1542          , 0
[03-13 19:59], 1451          , 1542          , 0
[03-13 20:29], 1476          , 1544          , 0
[03-13 20:59], 1489          , 1545          , 0
[03-13 21:29], 1498          , 1545          , 0
[03-13 21:59], 1506          , 1547          , 0
[03-13 22:29], 1521          , 1549          , 0
[03-13 22:59], 1528          , 1550          , 0
[03-13 23:29], 1542          , 1550          , 0
[03-13 23:59], 1551          , 1550          , 0
[03-14 00:29], 1569          , 1551          , 0
[03-14 00:59], 1589          , 1554          , 0
[03-14 01:29], 1598          , 1554          , 0
[03-14 01:59], 1605          , 1555          , 0
[03-14 02:29], 1624          , 1555          , 0
[03-14 02:59], 1644          , 1555          , 0
[03-14 03:29], 1653          , 1559          , 0
[03-14 03:59], 1660          , 1559          , 0
[03-14 04:29], 1688          , 1571          , 0
[03-14 04:59], 1720          , 1571          , 0
[03-14 05:29], 1741          , 1572          , 0
[03-14 05:59], 1776          , 1572          , 0
[03-14 06:29], 1794          , 1574          , 0
[03-14 06:59], 1811          , 1574          , 0
[03-14 07:29], 1827          , 1574          , 0
[03-14 07:59], 1843          , 1574          , 0
[03-14 08:29], 1848          , 1575          , 0
[03-14 08:59], 1855          , 1575          , 0
[03-14 09:29], 1865          , 1575          , 0
[03-14 09:59], 1870          , 1576          , 0
[03-14 10:29], 1881          , 1577          , 0
[03-14 10:59], 1890          , 1578          , 0
[03-14 11:29], 1894          , 1578          , 0
[03-14 11:59], 1900          , 1578          , 0
[03-14 12:29], 1907          , 1578          , 0
[03-14 12:59], 1909          , 1578          , 0
[03-14 13:29], 1920          , 1580          , 0
[03-14 13:59], 1926          , 1580          , 0
[03-14 14:29], 1933          , 1580          , 0
[03-14 14:59], 1938          , 1581          , 0
[03-14 15:29], 1944          , 1581          , 0
[03-14 15:59], 1946          , 1581          , 0
[03-14 16:29], 1949          , 1581          , 0
[03-14 16:59], 1959          , 1581          , 0
[03-14 17:29], 1964          , 1581          , 0
[03-14 17:59], 1965          , 1581          , 0
[03-14 18:29], 1968          , 1581          , 0
[03-14 18:59], 1975          , 1581          , 0
[03-14 19:29], 1976          , 1581          , 0
[03-14 19:59], 1980          , 1581          , 0
[03-14 20:29], 1982          , 1581          , 0
[03-14 20:59], 1985          , 1581          , 0
[03-14 21:29], 1988          , 1581          , 0
[03-14 21:59], 1990          , 1581          , 0
[03-14 22:29], 1992          , 1583          , 0
[03-14 22:59], 1997          , 1584          , 0
