real_map_size: 362927
loging--time, explored-paths, covered-blocks, crashes
[04-06 04:23], 20            , 12332         , 0
[04-06 04:53], 46            , 12332         , 0
[04-06 05:23], 46            , 12332         , 0
[04-06 05:53], 123           , 12332         , 0
[04-06 06:23], 173           , 12332         , 0
[04-06 06:53], 219           , 12332         , 0
[04-06 07:23], 247           , 12332         , 0
[04-06 07:53], 298           , 12332         , 0
[04-06 08:23], 342           , 12332         , 0
[04-06 08:53], 342           , 12332         , 0
[04-06 09:23], 402           , 12332         , 0
[04-06 09:53], 402           , 12332         , 0
[04-06 10:23], 402           , 12332         , 0
[04-06 10:53], 402           , 12332         , 0
[04-06 11:23], 402           , 12332         , 0
[04-06 11:53], 402           , 12332         , 0
[04-06 12:23], 640           , 12332         , 0
[04-06 12:53], 700           , 12332         , 0
[04-06 13:23], 732           , 12332         , 0
[04-06 13:53], 762           , 12332         , 0
[04-06 14:23], 785           , 12332         , 0
[04-06 14:53], 817           , 12332         , 0
[04-06 15:23], 854           , 12332         , 0
[04-06 15:53], 926           , 12332         , 0
[04-06 16:23], 926           , 12332         , 0
[04-06 16:53], 998           , 12332         , 0
[04-06 17:23], 1058          , 12332         , 0
[04-06 17:53], 1102          , 12332         , 0
[04-06 18:23], 1131          , 12332         , 0
[04-06 18:53], 1192          , 12332         , 0
[04-06 19:23], 1219          , 12332         , 0
[04-06 19:53], 1219          , 12332         , 0
[04-06 20:23], 1219          , 12332         , 0
[04-06 20:53], 1219          , 12332         , 0
[04-06 21:23], 1219          , 12332         , 0
[04-06 21:53], 1219          , 12332         , 0
[04-06 22:23], 1219          , 12332         , 0
[04-06 22:53], 1219          , 12332         , 0
[04-06 23:23], 1219          , 12332         , 0
[04-06 23:53], 1219          , 12332         , 0
[04-07 00:23], 1219          , 12332         , 0
[04-07 00:53], 1219          , 12332         , 0
[04-07 01:23], 1219          , 12332         , 0
[04-07 01:53], 1219          , 12332         , 0
[04-07 02:23], 1219          , 12332         , 0
[04-07 02:53], 1219          , 12332         , 0
[04-07 03:23], 1219          , 12332         , 0
[04-07 03:53], 1219          , 12332         , 0
