[2025-04-06_04:22:37] Total Functions: 791, Hited Functions: 273 [ 34.513274% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:23:38] Total Functions: 984, Hited Functions: 512 [ 52.032520% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:24:39] Total Functions: 984, Hited Functions: 512 [ 52.032520% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:25:40] Total Functions: 984, Hited Functions: 512 [ 52.032520% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:26:41] Total Functions: 1007, Hited Functions: 535 [ 53.128103% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:27:42] Total Functions: 1049, Hited Functions: 577 [ 55.004766% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:28:43] Total Functions: 1059, Hited Functions: 587 [ 55.429651% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:29:44] Total Functions: 1072, Hited Functions: 600 [ 55.970149% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:30:45] Total Functions: 1076, Hited Functions: 604 [ 56.133829% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:31:46] Total Functions: 1087, Hited Functions: 615 [ 56.577737% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:32:47] Total Functions: 1090, Hited Functions: 618 [ 56.697248% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:33:48] Total Functions: 1090, Hited Functions: 618 [ 56.697248% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:34:49] Total Functions: 1092, Hited Functions: 620 [ 56.776557% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:35:50] Total Functions: 1094, Hited Functions: 622 [ 56.855576% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:36:51] Total Functions: 1174, Hited Functions: 705 [ 60.051107% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:37:52] Total Functions: 1203, Hited Functions: 734 [ 61.014131% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:38:53] Total Functions: 1206, Hited Functions: 737 [ 61.111111% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:39:54] Total Functions: 1206, Hited Functions: 738 [ 61.194030% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:40:55] Total Functions: 1207, Hited Functions: 739 [ 61.226181% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:41:56] Total Functions: 1207, Hited Functions: 739 [ 61.226181% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:42:57] Total Functions: 1207, Hited Functions: 739 [ 61.226181% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:43:58] Total Functions: 1207, Hited Functions: 739 [ 61.226181% ], Hited Edges: 0, Total Edges: 2056
[2025-04-06_04:44:59] Total Functions: 1208, Hited Functions: 740 [ 61.258278% ], Hited Edges: 0, Total Edges: 2056
