real_map_size: 81502
loging--time, explored-paths, covered-blocks, crashes
[04-06 04:23], 19            , 2418          , 0
[04-06 04:53], 791           , 3715          , 0
[04-06 05:23], 1060          , 3818          , 0
[04-06 05:53], 1238          , 4050          , 0
[04-06 06:23], 1331          , 4071          , 0
[04-06 06:53], 1480          , 4131          , 0
[04-06 07:23], 1592          , 4191          , 0
[04-06 07:53], 1681          , 4274          , 0
[04-06 08:23], 1764          , 4366          , 0
[04-06 08:53], 1824          , 4444          , 0
[04-06 09:23], 1894          , 4456          , 0
[04-06 09:53], 1957          , 4469          , 0
[04-06 10:23], 2005          , 4471          , 0
[04-06 10:53], 2055          , 4471          , 0
[04-06 11:23], 2117          , 4474          , 0
[04-06 11:53], 2168          , 4477          , 0
[04-06 12:23], 2214          , 4538          , 0
[04-06 12:53], 2254          , 4546          , 0
[04-06 13:23], 2305          , 4549          , 0
[04-06 13:53], 2346          , 4551          , 0
[04-06 14:23], 2385          , 4561          , 0
[04-06 14:53], 2464          , 4650          , 0
[04-06 15:23], 2540          , 4664          , 0
[04-06 15:53], 2588          , 4673          , 0
[04-06 16:23], 2617          , 4675          , 0
[04-06 16:53], 2645          , 4675          , 0
[04-06 17:23], 2672          , 4677          , 0
[04-06 17:53], 2710          , 4682          , 0
[04-06 18:23], 2742          , 4683          , 0
[04-06 18:53], 2782          , 4684          , 0
[04-06 19:23], 2821          , 4689          , 0
[04-06 19:53], 2898          , 4747          , 0
[04-06 20:23], 2944          , 4752          , 0
[04-06 20:53], 2988          , 4756          , 0
[04-06 21:23], 3031          , 4776          , 0
[04-06 21:53], 3052          , 4780          , 0
[04-06 22:23], 3090          , 4781          , 0
[04-06 22:53], 3132          , 4796          , 0
[04-06 23:23], 3174          , 4796          , 0
[04-06 23:53], 3214          , 4806          , 0
[04-07 00:23], 3241          , 4806          , 0
[04-07 00:53], 3280          , 4806          , 0
[04-07 01:23], 3315          , 4807          , 0
[04-07 01:53], 3355          , 4808          , 0
[04-07 02:23], 3382          , 4808          , 0
[04-07 02:53], 3428          , 4808          , 0
[04-07 03:23], 3460          , 4809          , 0
[04-07 03:53], 3488          , 4809          , 0
