real_map_size: 13621
loging--time, explored-paths, covered-blocks, crashes
[04-10 04:24], 10            , 292           , 0
[04-10 04:54], 125           , 292           , 0
[04-10 05:24], 236           , 292           , 0
[04-10 05:54], 339           , 292           , 0
[04-10 06:24], 446           , 292           , 0
[04-10 06:54], 548           , 292           , 0
[04-10 07:24], 644           , 292           , 0
[04-10 07:54], 661           , 292           , 0
[04-10 08:24], 661           , 292           , 0
[04-10 08:54], 661           , 292           , 0
[04-10 09:24], 661           , 292           , 0
[04-10 09:54], 661           , 292           , 0
[04-10 10:24], 661           , 292           , 0
[04-10 10:54], 661           , 292           , 0
[04-10 11:24], 661           , 292           , 0
[04-10 11:54], 661           , 292           , 0
[04-10 12:24], 661           , 292           , 0
[04-10 12:54], 661           , 292           , 0
[04-10 13:24], 661           , 292           , 0
[04-10 13:54], 661           , 292           , 0
[04-10 14:24], 661           , 292           , 0
[04-10 14:54], 661           , 292           , 0
[04-10 15:24], 661           , 292           , 0
[04-10 15:54], 661           , 292           , 0
[04-10 16:24], 661           , 292           , 0
[04-10 16:54], 661           , 292           , 0
[04-10 17:24], 661           , 292           , 0
[04-10 17:54], 661           , 292           , 0
[04-10 18:24], 661           , 292           , 0
[04-10 18:54], 661           , 292           , 0
[04-10 19:24], 661           , 292           , 0
[04-10 19:54], 661           , 292           , 0
[04-10 20:24], 661           , 292           , 0
[04-10 20:54], 661           , 292           , 0
[04-10 21:24], 661           , 292           , 0
[04-10 21:54], 661           , 292           , 0
[04-10 22:24], 661           , 292           , 0
[04-10 22:54], 661           , 292           , 0
[04-10 23:24], 661           , 292           , 0
[04-10 23:54], 661           , 292           , 0
[04-11 00:24], 661           , 292           , 0
[04-11 00:54], 661           , 292           , 0
[04-11 01:24], 661           , 292           , 0
[04-11 01:54], 661           , 292           , 0
[04-11 02:24], 661           , 292           , 0
[04-11 02:54], 661           , 292           , 0
[04-11 03:24], 661           , 292           , 0
[04-11 03:54], 661           , 292           , 0
