[2025-04-09_04:23:37] Total Functions: 462, Hited Functions: 48 [ 10.389610% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:24:38] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:25:39] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:26:40] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:27:41] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:28:42] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:29:43] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:30:44] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:31:45] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:32:46] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:33:47] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:34:48] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:35:49] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:36:50] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:37:51] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:38:52] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:39:53] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:40:54] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:41:55] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:42:56] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:43:57] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:44:58] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:45:59] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:47:00] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:48:01] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:49:02] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:50:03] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-04-09_04:51:04] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
