real_map_size: 7027
loging--time, explored-paths, covered-blocks, crashes
[04-09 04:24], 38            , 335           , 0
[04-09 04:54], 331           , 481           , 0
[04-09 05:24], 367           , 484           , 0
[04-09 05:54], 389           , 487           , 0
[04-09 06:24], 414           , 487           , 0
[04-09 06:54], 428           , 487           , 0
[04-09 07:24], 449           , 487           , 0
[04-09 07:54], 461           , 488           , 0
[04-09 08:24], 482           , 488           , 0
[04-09 08:54], 501           , 488           , 0
[04-09 09:24], 509           , 488           , 0
[04-09 09:54], 517           , 490           , 0
[04-09 10:24], 526           , 490           , 0
[04-09 10:54], 534           , 490           , 0
[04-09 11:24], 544           , 490           , 0
[04-09 11:54], 553           , 491           , 0
[04-09 12:24], 576           , 491           , 0
[04-09 12:54], 598           , 491           , 0
[04-09 13:24], 612           , 491           , 0
[04-09 13:54], 629           , 492           , 0
[04-09 14:24], 637           , 492           , 0
[04-09 14:54], 642           , 492           , 0
[04-09 15:24], 655           , 492           , 0
[04-09 15:54], 667           , 493           , 0
[04-09 16:24], 674           , 493           , 0
[04-09 16:54], 683           , 493           , 0
[04-09 17:24], 691           , 493           , 0
[04-09 17:54], 705           , 493           , 0
[04-09 18:24], 725           , 493           , 0
[04-09 18:54], 733           , 496           , 0
[04-09 19:24], 745           , 497           , 0
[04-09 19:54], 759           , 498           , 0
[04-09 20:24], 772           , 498           , 0
[04-09 20:54], 781           , 498           , 0
[04-09 21:24], 787           , 498           , 0
[04-09 21:54], 793           , 498           , 0
[04-09 22:24], 796           , 498           , 0
[04-09 22:54], 799           , 498           , 0
[04-09 23:24], 811           , 498           , 0
[04-09 23:54], 824           , 498           , 0
[04-10 00:24], 837           , 498           , 0
[04-10 00:54], 849           , 498           , 0
[04-10 01:24], 851           , 498           , 0
[04-10 01:54], 863           , 498           , 0
[04-10 02:24], 877           , 498           , 0
[04-10 02:54], 892           , 498           , 0
[04-10 03:24], 903           , 498           , 0
[04-10 03:54], 917           , 498           , 0
