[2025-04-09_04:23:38] Total Functions: 2324, Hited Functions: 162 [ 6.970740% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:24:39] Total Functions: 2325, Hited Functions: 323 [ 13.892473% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:25:40] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:26:41] Total Functions: 2325, Hited Functions: 334 [ 14.365591% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:27:42] Total Functions: 2325, Hited Functions: 336 [ 14.451613% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:28:43] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:29:44] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:30:45] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:31:46] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:32:47] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:33:48] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:34:49] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:35:50] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:36:51] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:37:52] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:38:53] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:39:54] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:40:55] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:41:56] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:42:57] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:43:58] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:44:59] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:46:00] Total Functions: 2325, Hited Functions: 351 [ 15.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:47:01] Total Functions: 2325, Hited Functions: 353 [ 15.182796% ], Hited Edges: 0, Total Edges: 14796
[2025-04-09_04:48:02] Total Functions: 2325, Hited Functions: 380 [ 16.344086% ], Hited Edges: 0, Total Edges: 14796
