real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[04-09 04:24], 917           , 2799          , 0
[04-09 04:54], 4369          , 4488          , 0
[04-09 05:24], 5515          , 4643          , 0
[04-09 05:54], 6326          , 4674          , 0
[04-09 06:24], 6902          , 4773          , 0
[04-09 06:54], 7615          , 4921          , 0
[04-09 07:24], 8164          , 4959          , 0
[04-09 07:54], 8564          , 5024          , 0
[04-09 08:24], 8860          , 5052          , 0
[04-09 08:54], 9257          , 5100          , 0
[04-09 09:24], 9469          , 5108          , 0
[04-09 09:54], 9698          , 5118          , 0
[04-09 10:24], 9908          , 5132          , 0
[04-09 10:54], 10102         , 5140          , 0
[04-09 11:24], 10270         , 5145          , 0
[04-09 11:54], 10446         , 5152          , 0
[04-09 12:24], 10587         , 5156          , 0
[04-09 12:54], 10787         , 5174          , 0
[04-09 13:24], 10951         , 5179          , 0
[04-09 13:54], 11105         , 5208          , 0
[04-09 14:24], 11265         , 5217          , 0
[04-09 14:54], 11428         , 5240          , 0
[04-09 15:24], 11580         , 5247          , 0
[04-09 15:54], 11742         , 5258          , 0
[04-09 16:24], 11898         , 5284          , 0
[04-09 16:54], 12050         , 5289          , 0
[04-09 17:24], 12174         , 5290          , 0
[04-09 17:54], 12304         , 5385          , 0
[04-09 18:24], 12432         , 5413          , 0
[04-09 18:54], 12552         , 5417          , 0
[04-09 19:24], 12688         , 5437          , 0
[04-09 19:54], 12809         , 5442          , 0
[04-09 20:24], 12926         , 5445          , 0
[04-09 20:54], 13045         , 5451          , 0
[04-09 21:24], 13132         , 5458          , 0
[04-09 21:54], 13176         , 5460          , 0
[04-09 22:24], 13225         , 5462          , 0
[04-09 22:54], 13295         , 5463          , 0
[04-09 23:24], 13384         , 5466          , 0
[04-09 23:54], 13488         , 5471          , 0
[04-10 00:24], 13593         , 5471          , 0
[04-10 00:54], 13695         , 5471          , 0
[04-10 01:24], 13803         , 5475          , 0
[04-10 01:54], 13921         , 5475          , 0
[04-10 02:24], 14024         , 5480          , 0
[04-10 02:54], 14099         , 5480          , 0
[04-10 03:24], 14194         , 5484          , 0
[04-10 03:54], 14285         , 5489          , 0
