real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[04-08 04:23], 83            , 135           , 0
[04-08 04:53], 524           , 225           , 0
[04-08 05:23], 625           , 231           , 0
[04-08 05:53], 709           , 231           , 0
[04-08 06:23], 849           , 231           , 0
[04-08 06:53], 937           , 231           , 0
[04-08 07:23], 1074          , 231           , 0
[04-08 07:53], 1151          , 231           , 0
[04-08 08:23], 1226          , 231           , 0
[04-08 08:53], 1287          , 231           , 0
[04-08 09:23], 1351          , 231           , 0
[04-08 09:53], 1414          , 231           , 0
[04-08 10:23], 1473          , 231           , 0
[04-08 10:53], 1548          , 231           , 0
[04-08 11:23], 1616          , 231           , 0
[04-08 11:53], 1679          , 231           , 0
[04-08 12:23], 1742          , 231           , 0
[04-08 12:53], 1805          , 231           , 0
[04-08 13:23], 1877          , 231           , 0
[04-08 13:53], 1938          , 231           , 0
[04-08 14:23], 2009          , 231           , 0
[04-08 14:53], 2073          , 231           , 0
[04-08 15:23], 2138          , 231           , 0
[04-08 15:53], 2209          , 231           , 0
[04-08 16:23], 2264          , 231           , 0
[04-08 16:53], 2334          , 231           , 0
[04-08 17:23], 2398          , 231           , 0
[04-08 17:53], 2462          , 231           , 0
[04-08 18:23], 2528          , 231           , 0
[04-08 18:53], 2592          , 231           , 0
[04-08 19:23], 2657          , 231           , 0
[04-08 19:53], 2719          , 231           , 0
[04-08 20:23], 2774          , 231           , 0
[04-08 20:53], 2809          , 231           , 0
[04-08 21:23], 2849          , 231           , 0
[04-08 21:53], 2900          , 231           , 0
[04-08 22:23], 2946          , 231           , 0
[04-08 22:53], 3007          , 231           , 0
[04-08 23:23], 3062          , 231           , 0
[04-08 23:53], 3117          , 231           , 0
[04-09 00:23], 3182          , 231           , 0
[04-09 00:53], 3236          , 231           , 0
[04-09 01:23], 3300          , 231           , 0
[04-09 01:53], 3358          , 231           , 0
[04-09 02:23], 3420          , 231           , 0
[04-09 02:53], 3478          , 231           , 0
[04-09 03:23], 3539          , 231           , 0
[04-09 03:53], 3598          , 231           , 0
