[2025-04-08_04:23:21] Total Functions: 2150, Hited Functions: 174 [ 8.093023% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:24:22] Total Functions: 2157, Hited Functions: 371 [ 17.199815% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:25:23] Total Functions: 2157, Hited Functions: 371 [ 17.199815% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:26:24] Total Functions: 2157, Hited Functions: 372 [ 17.246175% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:27:25] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:28:26] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:29:27] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:30:28] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:31:29] Total Functions: 2157, Hited Functions: 373 [ 17.292536% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:32:30] Total Functions: 2157, Hited Functions: 375 [ 17.385257% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:33:31] Total Functions: 2157, Hited Functions: 376 [ 17.431618% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:34:32] Total Functions: 2157, Hited Functions: 376 [ 17.431618% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:35:33] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:36:34] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:37:35] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:38:36] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-04-08_04:39:37] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
