real_map_size: 15695
loging--time, explored-paths, covered-blocks, crashes
[04-08 04:23], 111           , 1893          , 9
[04-08 04:53], 799           , 2197          , 267
[04-08 05:23], 1193          , 2258          , 398
[04-08 05:53], 1452          , 2276          , 526
[04-08 06:23], 1624          , 2296          , 692
[04-08 06:53], 1782          , 2308          , 856
[04-08 07:23], 1932          , 2320          , 981
[04-08 07:53], 2087          , 2330          , 1152
[04-08 08:23], 2233          , 2632          , 1343
[04-08 08:53], 2368          , 2636          , 1543
[04-08 09:23], 2514          , 2653          , 1738
[04-08 09:53], 2668          , 2661          , 1893
[04-08 10:23], 2775          , 2670          , 2050
[04-08 10:53], 2905          , 2672          , 2216
[04-08 11:23], 3020          , 2672          , 2375
[04-08 11:53], 3139          , 2678          , 2517
[04-08 12:23], 3271          , 2687          , 2723
[04-08 12:53], 3412          , 2690          , 2939
[04-08 13:23], 3528          , 2697          , 3090
[04-08 13:53], 3651          , 2697          , 3293
[04-08 14:23], 3770          , 2697          , 3473
[04-08 14:53], 3883          , 2702          , 3637
[04-08 15:23], 3993          , 2714          , 3814
[04-08 15:53], 4110          , 2716          , 4025
[04-08 16:23], 4211          , 2716          , 4216
[04-08 16:53], 4323          , 2717          , 4377
[04-08 17:23], 4436          , 2717          , 4540
[04-08 17:53], 4559          , 2718          , 4721
[04-08 18:23], 4661          , 2720          , 4895
[04-08 18:53], 4771          , 2723          , 5046
[04-08 19:23], 4896          , 2739          , 5217
[04-08 19:53], 5014          , 2739          , 5418
[04-08 20:23], 5125          , 2740          , 5570
[04-08 20:53], 5203          , 2744          , 5720
[04-08 21:23], 5276          , 2745          , 5869
[04-08 21:53], 5363          , 2746          , 5984
[04-08 22:23], 5478          , 2747          , 6127
[04-08 22:53], 5595          , 2747          , 6287
[04-08 23:23], 5695          , 2752          , 6445
[04-08 23:53], 5789          , 2753          , 6600
[04-09 00:23], 5910          , 2753          , 6741
[04-09 00:53], 6026          , 2753          , 6894
[04-09 01:23], 6129          , 2753          , 7025
[04-09 01:53], 6243          , 2753          , 7167
[04-09 02:23], 6347          , 2757          , 7323
[04-09 02:53], 6488          , 2773          , 7503
[04-09 03:23], 6592          , 2776          , 7650
[04-09 03:53], 6707          , 2778          , 7781
