[2025-04-07_04:23:04] Total Functions: 843, Hited Functions: 29 [ 3.440095% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:24:05] Total Functions: 844, Hited Functions: 98 [ 11.611374% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:25:06] Total Functions: 844, Hited Functions: 112 [ 13.270142% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:26:07] Total Functions: 844, Hited Functions: 118 [ 13.981043% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:27:08] Total Functions: 844, Hited Functions: 127 [ 15.047393% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:28:09] Total Functions: 844, Hited Functions: 148 [ 17.535545% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:29:10] Total Functions: 844, Hited Functions: 158 [ 18.720379% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:30:11] Total Functions: 844, Hited Functions: 158 [ 18.720379% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:31:12] Total Functions: 844, Hited Functions: 170 [ 20.142180% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:32:13] Total Functions: 844, Hited Functions: 173 [ 20.497630% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:33:14] Total Functions: 844, Hited Functions: 173 [ 20.497630% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:34:15] Total Functions: 844, Hited Functions: 173 [ 20.497630% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:35:16] Total Functions: 844, Hited Functions: 175 [ 20.734597% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:36:17] Total Functions: 844, Hited Functions: 175 [ 20.734597% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:37:18] Total Functions: 844, Hited Functions: 176 [ 20.853081% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:38:19] Total Functions: 844, Hited Functions: 178 [ 21.090047% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:39:20] Total Functions: 844, Hited Functions: 178 [ 21.090047% ], Hited Edges: 0, Total Edges: 2852
[2025-04-07_04:40:21] Total Functions: 844, Hited Functions: 178 [ 21.090047% ], Hited Edges: 0, Total Edges: 2852
