real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[04-07 04:23], 154           , 617           , 0
[04-07 04:53], 1274          , 2011          , 0
[04-07 05:23], 2010          , 3149          , 0
[04-07 05:53], 2374          , 3533          , 0
[04-07 06:23], 2615          , 3804          , 0
[04-07 06:53], 2958          , 4110          , 0
[04-07 07:23], 3147          , 4206          , 0
[04-07 07:53], 3421          , 4369          , 0
[04-07 08:23], 3627          , 4408          , 0
[04-07 08:53], 3844          , 4535          , 0
[04-07 09:23], 4020          , 4605          , 0
[04-07 09:53], 4195          , 4696          , 0
[04-07 10:23], 4369          , 4730          , 0
[04-07 10:53], 4565          , 4764          , 0
[04-07 11:23], 4725          , 4807          , 0
[04-07 11:53], 4875          , 4820          , 0
[04-07 12:23], 5437          , 5445          , 0
[04-07 12:53], 5623          , 5527          , 0
[04-07 13:23], 5867          , 5624          , 0
[04-07 13:53], 6075          , 5867          , 0
[04-07 14:23], 6218          , 5917          , 0
[04-07 14:53], 6326          , 5951          , 0
[04-07 15:23], 6440          , 6003          , 0
[04-07 15:53], 6532          , 6023          , 0
[04-07 16:23], 6581          , 6030          , 0
[04-07 16:53], 6682          , 6048          , 0
[04-07 17:23], 6750          , 6050          , 0
[04-07 17:53], 6805          , 6060          , 0
[04-07 18:23], 6867          , 6061          , 0
[04-07 18:53], 6916          , 6062          , 0
[04-07 19:23], 6979          , 6069          , 0
[04-07 19:53], 7045          , 6081          , 0
[04-07 20:23], 7124          , 6099          , 0
[04-07 20:53], 7211          , 6118          , 0
[04-07 21:23], 7338          , 6157          , 0
[04-07 21:53], 7429          , 6178          , 0
[04-07 22:23], 7541          , 6220          , 0
[04-07 22:53], 7673          , 6380          , 0
[04-07 23:23], 7744          , 6390          , 0
[04-07 23:53], 7812          , 6395          , 0
[04-08 00:23], 7888          , 6444          , 0
[04-08 00:53], 7960          , 6454          , 0
[04-08 01:23], 8051          , 6489          , 0
[04-08 01:53], 8128          , 6522          , 0
[04-08 02:23], 8296          , 6684          , 0
[04-08 02:53], 8377          , 6701          , 0
[04-08 03:23], 8476          , 6736          , 0
[04-08 03:53], 8610          , 6818          , 0
