real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[04-07 04:23], 25            , 86            , 0
[04-07 04:53], 93            , 86            , 0
[04-07 05:23], 148           , 86            , 0
[04-07 05:53], 227           , 86            , 0
[04-07 06:23], 296           , 86            , 0
[04-07 06:53], 370           , 86            , 0
[04-07 07:23], 447           , 86            , 0
[04-07 07:53], 518           , 86            , 0
[04-07 08:23], 585           , 86            , 0
[04-07 08:53], 645           , 86            , 0
[04-07 09:23], 709           , 86            , 0
[04-07 09:53], 779           , 86            , 0
[04-07 10:23], 838           , 86            , 0
[04-07 10:53], 910           , 86            , 0
[04-07 11:23], 976           , 86            , 0
[04-07 11:53], 1043          , 86            , 0
[04-07 12:23], 1094          , 86            , 0
[04-07 12:53], 1164          , 86            , 0
[04-07 13:23], 1217          , 86            , 0
[04-07 13:53], 1282          , 86            , 0
[04-07 14:23], 1347          , 86            , 0
[04-07 14:53], 1420          , 86            , 0
[04-07 15:23], 1485          , 86            , 0
[04-07 15:53], 1545          , 86            , 0
[04-07 16:23], 1613          , 86            , 0
[04-07 16:53], 1682          , 86            , 0
[04-07 17:23], 1746          , 86            , 0
[04-07 17:53], 1814          , 86            , 0
[04-07 18:23], 1879          , 86            , 0
[04-07 18:53], 1951          , 86            , 0
[04-07 19:23], 2016          , 86            , 0
[04-07 19:53], 2090          , 86            , 0
[04-07 20:23], 2153          , 86            , 0
[04-07 20:53], 2223          , 86            , 0
[04-07 21:23], 2291          , 86            , 0
[04-07 21:53], 2362          , 86            , 0
[04-07 22:23], 2418          , 86            , 0
[04-07 22:53], 2472          , 86            , 0
[04-07 23:23], 2533          , 86            , 0
[04-07 23:53], 2603          , 86            , 0
[04-08 00:23], 2672          , 86            , 0
[04-08 00:53], 2746          , 86            , 0
[04-08 01:23], 2810          , 86            , 0
[04-08 01:53], 2874          , 86            , 0
[04-08 02:23], 2936          , 86            , 0
[04-08 02:53], 2998          , 86            , 0
[04-08 03:23], 3067          , 86            , 0
[04-08 03:53], 3138          , 86            , 0
