[2025-04-10_04:23:50] Total Functions: 2747, Hited Functions: 106 [ 3.858755% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:24:51] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:25:52] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:26:53] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:27:54] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:28:55] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:29:56] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:30:57] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:31:58] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:32:59] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:34:00] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:35:01] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:36:02] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:37:03] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:38:04] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:39:05] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:40:06] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-10_04:41:07] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
