real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[04-10 04:24], 178           , 1283          , 0
[04-10 04:54], 1040          , 1512          , 0
[04-10 05:24], 1235          , 1527          , 0
[04-10 05:54], 1307          , 1539          , 0
[04-10 06:24], 1359          , 1543          , 0
[04-10 06:54], 1404          , 1544          , 0
[04-10 07:24], 1522          , 1572          , 0
[04-10 07:54], 1623          , 1572          , 0
[04-10 08:24], 1685          , 1577          , 0
[04-10 08:54], 1742          , 1644          , 0
[04-10 09:24], 1806          , 1656          , 0
[04-10 09:54], 1876          , 1668          , 0
[04-10 10:24], 1956          , 1668          , 0
[04-10 10:54], 2010          , 1668          , 0
[04-10 11:24], 2050          , 1668          , 0
[04-10 11:54], 2097          , 1668          , 0
[04-10 12:24], 2140          , 1669          , 0
[04-10 12:54], 2170          , 1671          , 0
[04-10 13:24], 2228          , 1671          , 0
[04-10 13:54], 2269          , 1671          , 0
[04-10 14:24], 2326          , 1674          , 0
[04-10 14:54], 2372          , 1674          , 0
[04-10 15:24], 2418          , 1674          , 0
[04-10 15:54], 2469          , 1674          , 0
[04-10 16:24], 2516          , 1674          , 0
[04-10 16:54], 2569          , 1677          , 0
[04-10 17:24], 2642          , 1684          , 0
[04-10 17:54], 2730          , 1692          , 0
[04-10 18:24], 2785          , 1692          , 0
[04-10 18:54], 2830          , 1692          , 0
[04-10 19:24], 2852          , 1692          , 0
[04-10 19:54], 2890          , 1693          , 0
[04-10 20:24], 2922          , 1693          , 0
[04-10 20:54], 2958          , 1697          , 0
[04-10 21:24], 2980          , 1697          , 0
[04-10 21:54], 3006          , 1697          , 0
[04-10 22:24], 3028          , 1697          , 0
[04-10 22:54], 3051          , 1697          , 0
[04-10 23:24], 3078          , 1697          , 0
[04-10 23:54], 3110          , 1697          , 0
[04-11 00:24], 3224          , 1765          , 0
[04-11 00:54], 3285          , 1766          , 0
[04-11 01:24], 3316          , 1766          , 0
[04-11 01:54], 3352          , 1773          , 0
[04-11 02:24], 3376          , 1773          , 0
[04-11 02:54], 3396          , 1773          , 0
[04-11 03:24], 3420          , 1773          , 0
[04-11 03:54], 3457          , 1774          , 0
